x1,x2,y1
   0.58961,   0.14544,   0.44417
   0.66203,   0.98726,  -0.32523
   0.89746,   0.58317,   0.31429
   0.06489,   0.11745,  -0.05256
   0.44753,   0.34509,   0.10244
   0.32248,   0.90700,  -0.58452
   0.10083,   0.75390,  -0.65307
   0.82741,   0.68043,   0.14698
   0.24677,   0.25562,  -0.00884
   0.87829,   0.02837,   0.84992
   0.08206,   0.30462,  -0.22256
   0.59028,   0.43970,   0.15057
   0.44396,   0.11331,   0.33066
   0.25271,   0.37403,  -0.12131
   0.65094,   0.29059,   0.36035
   0.84201,   0.83143,   0.01058
   0.15245,   0.87965,  -0.72719
   0.92841,   0.24201,   0.68639
   0.44472,   0.21484,   0.22988
   0.02715,   0.25647,  -0.22932
   0.14939,   0.68465,  -0.53526
   0.23407,   0.97431,  -0.74024
   0.13593,   0.24851,  -0.11258
   0.19330,   0.64667,  -0.45337
   0.47137,   0.76055,  -0.28919
   0.34886,   0.33316,   0.01570
   0.64695,   0.81031,  -0.16335
   0.38756,   0.26045,   0.12712
   0.73697,   0.43662,   0.30035
   0.69318,   0.62239,   0.07079
   0.45956,   0.70049,  -0.24093
   0.33565,   0.67852,  -0.34287
   0.45347,   0.35638,   0.09709
   0.37625,   0.16122,   0.21504
   0.61258,   0.94765,  -0.33507
   0.39390,   0.61347,  -0.21956
   0.86308,   0.45962,   0.40346
   0.30493,   0.33156,  -0.02663
   0.14291,   0.71618,  -0.57326
   0.05398,   0.64522,  -0.59124
   0.13635,   0.70492,  -0.56858
   0.56769,   0.10740,   0.46029
   0.22856,   0.32328,  -0.09472
   0.92205,   0.21267,   0.70938
   0.88900,   0.02283,   0.86617
   0.73505,   0.81139,  -0.07634
   0.79731,   0.21476,   0.58255
   0.89887,   0.35453,   0.54434
   0.88049,   0.07368,   0.80681
   0.51295,   0.48485,   0.02809
   0.95148,   0.10654,   0.84493
   0.28645,   0.55785,  -0.27139
   0.13962,   0.97769,  -0.83807
