x1,x2,y1
   0.58962,   0.13662,   0.44417
   0.66204,   0.98721,  -0.32523
   0.89748,   0.57891,   0.31429
   0.06487,   0.10834,  -0.05256
   0.44753,   0.33835,   0.10244
   0.32247,   0.90612,  -0.58452
   0.10081,   0.75143,  -0.65307
   0.82742,   0.67718,   0.14698
   0.24676,   0.24795,  -0.00884
   0.87831,   0.01833,   0.84992
   0.08204,   0.29747,  -0.22256
   0.59028,   0.43395,   0.15057
   0.44396,   0.10416,   0.33066
   0.25270,   0.36759,  -0.12131
   0.65095,   0.28329,   0.36035
   0.84202,   0.82976,   0.01058
   0.15244,   0.87848,  -0.72719
   0.92842,   0.23420,   0.68639
   0.44471,   0.20674,   0.22988
   0.02713,   0.24882,  -0.22932
   0.14937,   0.68145,  -0.53526
   0.23406,   0.97413,  -0.74024
   0.13591,   0.24077,  -0.11258
   0.19328,   0.64308,  -0.45337
   0.47136,   0.75815,  -0.28919
   0.34885,   0.32630,   0.01570
   0.64696,   0.80842,  -0.16335
   0.38756,   0.25283,   0.12712
   0.73698,   0.43083,   0.30035
   0.69319,   0.61854,   0.07079
   0.45956,   0.69746,  -0.24093
   0.33565,   0.67526,  -0.34287
   0.45347,   0.34976,   0.09709
   0.37625,   0.15257,   0.21504
   0.61258,   0.94719,  -0.33507
   0.39390,   0.60953,  -0.21956
   0.86309,   0.45408,   0.40346
   0.30492,   0.32469,  -0.02663
   0.14290,   0.71331,  -0.57326
   0.05396,   0.64161,  -0.59124
   0.13633,   0.70194,  -0.56858
   0.56770,   0.09819,   0.46029
   0.22854,   0.31632,  -0.09472
   0.92207,   0.20456,   0.70938
   0.88901,   0.01273,   0.86617
   0.73506,   0.80951,  -0.07634
   0.79732,   0.20667,   0.58255
   0.89889,   0.34789,   0.54434
   0.88051,   0.06411,   0.80681
   0.51295,   0.47957,   0.02809
   0.95150,   0.09732,   0.84493
   0.28644,   0.55333,  -0.27139
   0.13961,   0.97755,  -0.83807
   0.44403,   0.98682,  -0.54284
   0.71189,   0.84645,  -0.13607
   0.91715,   0.77758,   0.13735
   0.49537,   0.90462,  -0.41015
   0.29998,   0.95721,  -0.65757
   0.65076,   0.39777,   0.24686
   0.42352,   0.49468,  -0.07628
   0.61170,   0.84340,  -0.23323
   0.87183,   0.34371,   0.52142
   0.58421,   0.38316,   0.19477
   0.91811,   0.52970,   0.38363
   0.16415,   0.07732,   0.07742
   0.72183,   0.18297,   0.53052
   0.88696,   0.98824,  -0.10134
   0.82224,   0.39254,   0.42351
   0.30033,   0.77837,  -0.48023
   0.10668,   0.35815,  -0.25798
   0.31538,   0.56451,  -0.25352
   0.58541,   0.85375,  -0.26977
   0.37100,   0.95871,  -0.58805
   0.65839,   0.58442,   0.06977
   0.54151,   0.42388,   0.11178
   0.89206,   0.37089,   0.51475
   0.51324,   0.61079,  -0.10148
   0.73615,   0.65007,   0.08255
   0.16669,   0.28614,  -0.12671
   0.09967,   0.89004,  -0.79141
   0.53793,   0.79139,  -0.25553
   0.91678,   0.59060,   0.32203
   0.10782,   0.44309,  -0.34091
   0.39802,   0.77924,  -0.38341
   0.05840,   0.64559,  -0.59073
   0.10148,   0.55927,  -0.46223
   0.37160,   0.33194,   0.03286
   0.31315,   0.75330,  -0.44259
   0.09969,   0.35106,  -0.25796
   0.02167,   0.53102,  -0.51408
   0.83317,   0.94632,  -0.11363
   0.61104,   0.15734,   0.44509
   0.24963,   0.55048,  -0.30539
   0.37311,   0.62783,  -0.25846
   0.18964,   0.57393,  -0.38858
