x1,x2,y1
   0.13757,   0.87424,  -0.71989
   0.74478,   0.91953,  -0.16479
   0.82449,   0.88828,  -0.05617
   0.38715,   0.55558,  -0.16760
   0.13703,   0.46601,  -0.32812
   0.81728,   0.03760,   0.75425
   0.83315,   0.00000,   0.80603
   0.26566,   0.41777,  -0.15494
   0.63682,   0.10630,   0.51031
   0.44354,   0.79297,  -0.34015
   0.59265,   0.42439,   0.16108
   0.09350,   0.77933,  -0.67214
   0.75582,   0.58011,   0.17229
   0.40248,   0.71360,  -0.30435
   0.37502,   0.23365,   0.12983
   0.04303,   0.58854,  -0.53854
   0.40918,   0.70170,  -0.28631
   0.64512,   0.33737,   0.29643
   0.74023,   0.21533,   0.50748
   0.93205,   0.90524,   0.03357
   0.82970,   0.02010,   0.78332
   0.63296,   0.98951,  -0.34228
   0.40239,   0.37412,   0.02181
   0.82108,   0.38895,   0.42034
   0.17387,   0.38731,  -0.21616
   0.07881,   0.27198,  -0.19905
   0.64633,   0.67088,  -0.02289
   0.91830,   0.96174,  -0.03427
   0.44556,   0.41373,   0.02630
   0.78843,   0.31847,   0.45589
   0.84100,   0.13469,   0.68433
   0.48856,   0.88095,  -0.38031
   0.91442,   0.40687,   0.49514
   0.42113,   0.57184,  -0.14973
   0.29446,   0.47285,  -0.17948
   0.12244,   0.25293,  -0.13772
   0.51020,   0.88109,  -0.35910
   0.03180,   0.56196,  -0.52406
   0.00228,   0.66570,  -0.65286
   0.39190,   0.48718,  -0.09718
   0.32893,   0.53630,  -0.20647
   0.66465,   0.16322,   0.48305
   0.79667,   0.71068,   0.08709
   0.90362,   0.43140,   0.46092
   0.70073,   0.72574,  -0.02198
   0.00000,   0.54218,  -0.53641
   0.85080,   0.17035,   0.65972
   0.09245,   0.50004,  -0.40477
   1.00000,   0.91326,   0.09286
   0.20761,   0.05420,   0.13723
   0.52249,   0.28015,   0.23053
   0.68138,   0.29490,   0.37300
   0.93619,   0.42617,   0.49806
   0.42192,   0.25430,   0.15622
   0.51812,   0.96835,  -0.43516
   0.47354,   0.46149,   0.00798
   0.23007,   0.01639,   0.19571
   0.74540,   0.02278,   0.69763
   0.04751,   0.89703,  -0.83059
   0.68241,   0.24815,   0.41895
   0.18563,   0.42530,  -0.24108
   0.74933,   0.65300,   0.09585
   0.25202,   0.32565,  -0.07986
   0.84714,   0.01684,   0.80363
   0.82941,   0.81263,   0.02139
   0.56842,   0.27184,   0.28379
   0.80571,   0.18466,   0.60152
   0.88509,   0.12256,   0.73945
   0.20768,   0.61076,  -0.39757
   0.01966,   0.72070,  -0.68859
   0.90853,   0.42699,   0.47000
   0.66609,   0.65525,   0.01162
   0.26611,   0.20483,   0.05015
   0.79858,   0.70766,   0.09187
   0.29879,   0.86810,  -0.55505
   0.22389,   0.19403,   0.01890
   0.60585,   1.00000,  -0.37909
   0.55451,   0.34730,   0.19756
   0.39776,   0.95034,  -0.53651
   0.31979,   0.79661,  -0.46565
   0.80074,   0.87452,  -0.06636
   0.13236,   0.25325,  -0.12824
   0.05574,   0.61477,  -0.55122
   0.52008,   0.21388,   0.29184
   0.01136,   0.91098,  -0.87963
   0.67466,   0.14076,   0.51451
   0.31658,   0.26778,   0.03940
   0.47180,   0.42126,   0.04494
   0.74358,   0.56227,   0.17736
   0.95659,   0.67080,   0.28307
   0.77005,   0.11535,   0.63296
   0.08461,   0.33734,  -0.25613
   0.52257,   0.06630,   0.43612
   0.89332,   0.87618,   0.02332
   0.69401,   0.57646,   0.11486
   0.27889,   0.31352,  -0.04171
   0.08281,   0.58741,  -0.49824
   0.10945,   0.74633,  -0.62470
   0.14011,   0.05389,   0.07099
   0.96774,   0.49908,   0.45909
