x1,y1
  59.37163,   4.08382
  14.54385,   2.67717
  66.54086,   4.19782
  98.72570,   4.59235
  89.84853,   4.49813
  58.31652,   4.06589
   7.42406,   2.00473
  11.74473,   2.46340
  45.30546,   3.81343
  34.50884,   3.54122
  32.92556,   3.49425
  90.69978,   4.50756
  10.98203,   2.39626
  75.39025,   4.32268
  82.91313,   4.41779
  68.04262,   4.22013
  25.43062,   3.23595
  25.56178,   3.24110
  87.95083,   4.47678
   2.83664,   1.04262
   9.12412,   2.21092
  30.46227,   3.41649
  59.43724,   4.08492
  43.97007,   3.78351
  44.95253,   3.80561
  11.33052,   2.42750
  26.01859,   3.25881
  37.40274,   3.62174
  65.44327,   4.18118
  29.05922,   3.36934
  84.35894,   4.43508
  83.14253,   4.42056
  16.09297,   2.77838
  87.96460,   4.47693
  92.91223,   4.53166
  24.20130,   3.18641
  45.02710,   3.80726
  21.48359,   3.06729
   3.68785,   1.30504
  25.64746,   3.24444
  15.78957,   2.75935
  68.46502,   4.22632
  24.17276,   3.18523
  97.43127,   4.57915
  14.45689,   2.67117
  24.85090,   3.21289
  20.13668,   3.00254
  64.66702,   4.16925
  47.66520,   3.86420
  76.05535,   4.33146
  35.53738,   3.57059
  33.31583,   3.50603
  65.04850,   4.17513
  81.03056,   4.39483
  39.36884,   3.67297
  26.04483,   3.25982
  73.95960,   4.30352
  43.66172,   3.77647
  69.62463,   4.24312
  62.23891,   4.13098
  46.49637,   3.83937
  70.04940,   4.24920
  34.22973,   3.53309
  67.85242,   4.21734
  45.89360,   3.82633
  35.63819,   3.57342
  38.24906,   3.64412
  16.12175,   2.78017
  61.64524,   4.12140
  94.76462,   4.55140
  39.99658,   3.68879
  61.34686,   4.11654
  86.44476,   4.45951
  45.96202,   3.82782
  31.18837,   3.44005
  33.15646,   3.50124
  15.14854,   2.71790
  71.61768,   4.27134
   6.34373,   1.84747
  64.52197,   4.16701
  14.49825,   2.67403
  70.49224,   4.25550
  57.20177,   4.04659
  10.74023,   2.37400
  23.62700,   3.16239
  32.32782,   3.47593
  92.28334,   4.52486
  21.26749,   3.05718
  89.01076,   4.48876
   2.28252,   0.82528
  73.76954,   4.30095
  81.13860,   4.39616
  79.93337,   4.38119
  21.47604,   3.06694
  89.98844,   4.49968
  35.45311,   3.56821
  88.16853,   4.47925
   7.36755,   1.99708
  51.78172,   3.94704
  48.48534,   3.88126
  95.19623,   4.55594
  10.65425,   2.36596
  29.35899,   3.37960
  55.78453,   4.02150
  14.82285,   2.69617
  97.76933,   4.58261
  44.95929,   3.80576
  98.68690,   4.59195
  71.47636,   4.26937
  84.79501,   4.44024
  91.79657,   4.51958
  77.97881,   4.35644
  50.04206,   3.91286
  90.55199,   4.50592
  30.69918,   3.42424
  95.75643,   4.56181
  65.42477,   4.18090
  40.38979,   3.69858
  42.92899,   3.75955
