x1,y1
   0.58963,   4.08382
   0.13679,   2.67717
   0.66206,   4.19782
   0.98718,   4.59235
   0.89750,   4.49813
   0.57897,   4.06589
   0.06487,   2.00473
   0.10852,   2.46340
   0.44754,   3.81343
   0.33848,   3.54122
   0.32248,   3.49425
   0.90610,   4.50756
   0.10081,   2.39626
   0.75145,   4.32268
   0.82744,   4.41779
   0.67723,   4.22013
   0.24677,   3.23595
   0.24809,   3.24110
   0.87833,   4.47678
   0.01853,   1.04262
   0.08204,   2.21092
   0.29760,   3.41649
   0.59030,   4.08492
   0.43405,   3.78351
   0.44397,   3.80561
   0.10433,   2.42750
   0.25271,   3.25881
   0.36771,   3.62174
   0.65097,   4.18118
   0.28342,   3.36934
   0.84205,   4.43508
   0.82976,   4.42056
   0.15244,   2.77838
   0.87847,   4.47693
   0.92845,   4.53166
   0.23435,   3.18641
   0.44473,   3.80726
   0.20690,   3.06729
   0.02713,   1.30504
   0.24896,   3.24444
   0.14938,   2.75935
   0.68149,   4.22632
   0.23406,   3.18523
   0.97410,   4.57915
   0.13591,   2.67117
   0.24091,   3.21289
   0.19329,   3.00254
   0.64313,   4.16925
   0.47138,   3.86420
   0.75817,   4.33146
   0.34887,   3.57059
   0.32642,   3.50603
   0.64698,   4.17513
   0.80843,   4.39483
   0.38757,   3.67297
   0.25297,   3.25982
   0.73700,   4.30352
   0.43094,   3.77647
   0.69321,   4.24312
   0.61860,   4.13098
   0.45957,   3.83937
   0.69750,   4.24920
   0.33566,   3.53309
   0.67530,   4.21734
   0.45348,   3.82633
   0.34988,   3.57342
   0.37626,   3.64412
   0.15273,   2.78017
   0.61260,   4.12140
   0.94717,   4.55140
   0.39391,   3.68879
   0.60959,   4.11654
   0.86312,   4.45951
   0.45417,   3.82782
   0.30493,   3.44005
   0.32481,   3.50124
   0.14290,   2.71790
   0.71334,   4.27134
   0.05396,   1.84747
   0.64166,   4.16701
   0.13633,   2.67403
   0.70197,   4.25550
   0.56771,   4.04659
   0.09837,   2.37400
   0.22855,   3.16239
   0.31644,   3.47593
   0.92210,   4.52486
   0.20471,   3.05718
   0.88904,   4.48876
   0.01293,   0.82528
   0.73508,   4.30095
   0.80952,   4.39616
   0.79734,   4.38119
