x1,y1
  87.53321,   4.47202
  24.13506,   3.18367
  13.02709,   2.56703
  28.92072,   3.36456
  61.40809,   4.11754
  24.65876,   3.20513
   1.55876,   0.44389
  29.88971,   3.39751
  48.20038,   3.87537
  85.12598,   4.44413
  16.91208,   2.82803
  24.54653,   3.20057
  66.88614,   4.20299
  92.78255,   4.53026
  90.95214,   4.51033
  89.79198,   4.49750
  31.58016,   3.45253
   7.94315,   2.07231
  36.25856,   3.59068
  71.29047,   4.26676
  13.44344,   2.59849
  67.44680,   4.21134
  83.93234,   4.43001
  61.68063,   4.12197
  79.79166,   4.37942
  88.39783,   4.48185
   4.96199,   1.60181
  73.91254,   4.30288
  90.02651,   4.50010
   3.47634,   1.24598
  13.25770,   2.58458
  39.23232,   3.66950
  24.55946,   3.20110
  32.33327,   3.47610
  77.08907,   4.34496
  35.70633,   3.57533
  83.36576,   4.42324
  84.44009,   4.43604
  35.58846,   3.57202
  48.63792,   3.88440
  38.47994,   3.65014
  27.07430,   3.29858
  87.80695,   4.47514
  94.23312,   4.54577
  85.67370,   4.45055
  18.22103,   2.90258
  88.89683,   4.48748
  95.92138,   4.56353
  50.35420,   3.91908
  29.68014,   3.39048
   6.98949,   1.94441
  30.11001,   3.40486
  60.56063,   4.10364
  84.29375,   4.43431
  95.65984,   4.56080
  82.02892,   4.40707
  13.90921,   2.63255
  78.25117,   4.35992
  21.81161,   3.08244
  62.63736,   4.13736
  28.92757,   3.36479
  97.89988,   4.58395
  18.80446,   2.93409
  13.13588,   2.57535
  45.68892,   3.82186
  53.45875,   3.97891
  83.07910,   4.41979
  69.57880,   4.24246
  99.45512,   4.59971
  63.39996,   4.14946
  22.93423,   3.13263
  51.67343,   3.94494
  20.12907,   3.00217
  89.62437,   4.49563
  86.63945,   4.46176
  37.35785,   3.62054
  61.14737,   4.11329
  77.10116,   4.34512
  83.94485,   4.43016
   7.26617,   1.98323
  45.61210,   3.82017
  99.88374,   4.60401
  67.58344,   4.21336
  86.94524,   4.46528
  43.54860,   3.77388
  97.75986,   4.58251
  65.22944,   4.17791
  65.45048,   4.18129
  42.59126,   3.75165
  47.83184,   3.86769
   3.30895,   1.19663
  42.89159,   3.75868
  81.69781,   4.40303
  33.89454,   3.52325
  18.83716,   2.93583
  38.54938,   3.65194
  29.62726,   3.38869
  33.67153,   3.51665
   7.69331,   2.04035
   6.36346,   1.85057
