x1,y1
   0.87439,   4.47202
   0.22961,   3.18367
   0.11664,   2.56703
   0.27828,   3.36456
   0.60869,   4.11754
   0.23494,   3.20513
   0.00000,   0.44389
   0.28814,   3.39751
   0.47436,   3.87537
   0.84991,   4.44413
   0.15615,   2.82803
   0.23379,   3.20057
   0.66440,   4.20299
   0.92778,   4.53026
   0.90916,   4.51033
   0.89736,   4.49750
   0.30533,   3.45253
   0.06493,   2.07231
   0.35291,   3.59068
   0.70920,   4.26676
   0.12087,   2.59849
   0.67010,   4.21134
   0.83777,   4.43001
   0.61146,   4.12197
   0.79566,   4.37942
   0.88318,   4.48185
   0.03461,   1.60181
   0.73586,   4.30288
   0.89975,   4.50010
   0.01950,   1.24598
   0.11898,   2.58458
   0.38315,   3.66950
   0.23393,   3.20110
   0.31299,   3.47610
   0.76817,   4.34496
   0.34729,   3.57533
   0.83201,   4.42324
   0.84293,   4.43604
   0.34609,   3.57202
   0.47881,   3.88440
   0.37550,   3.65014
   0.25950,   3.29858
   0.87717,   4.47514
   0.94253,   4.54577
   0.85548,   4.45055
   0.16946,   2.90258
   0.88826,   4.48748
   0.95970,   4.56353
   0.49627,   3.91908
   0.28600,   3.39048
   0.05523,   1.94441
   0.29038,   3.40486
   0.60007,   4.10364
   0.84144,   4.43431
   0.95704,   4.56080
   0.81841,   4.40707
   0.12561,   2.63255
   0.77999,   4.35992
   0.20598,   3.08244
   0.62119,   4.13736
   0.27835,   3.36479
   0.97982,   4.58395
   0.17539,   2.93409
   0.11774,   2.57535
   0.44882,   3.82186
   0.52784,   3.97891
   0.82909,   4.41979
   0.69179,   4.24246
   0.99564,   4.59971
   0.62895,   4.14946
   0.21740,   3.13263
   0.50968,   3.94494
   0.18887,   3.00217
   0.89566,   4.49563
   0.86530,   4.46176
   0.36409,   3.62054
   0.60604,   4.11329
   0.76829,   4.34512
   0.83790,   4.43016
   0.05805,   1.98323
   0.44804,   3.82017
   1.00000,   4.60401
   0.67149,   4.21336
   0.86841,   4.46528
   0.42705,   3.77388
   0.97840,   4.58251
   0.64755,   4.17791
   0.64980,   4.18129
   0.41732,   3.75165
   0.47061,   3.86769
   0.01780,   1.19663
   0.42037,   3.75868
   0.81504,   4.40303
   0.32887,   3.52325
   0.17573,   2.93583
   0.37621,   3.65194
   0.28547,   3.38869
   0.32660,   3.51665
   0.06239,   2.04035
   0.04887,   1.85057
