x1,x2,y1
   0.58961,   0.13681,   0.42460
   0.66203,   0.98713,   0.14816
   0.89746,   0.57895,   0.18422
   0.06489,   0.10853,   0.49299
   0.44753,   0.33847,   0.36756
   0.32248,   0.90606,   0.27812
   0.10083,   0.75142,   0.42886
   0.82741,   0.67720,   0.17209
   0.24677,   0.24810,   0.44177
   0.87829,   0.01855,   0.48391
   0.08206,   0.29760,   0.47604
   0.59028,   0.43404,   0.29824
   0.44396,   0.10435,   0.45537
   0.25271,   0.36770,   0.41410
   0.65094,   0.28343,   0.34386
   0.84201,   0.82972,   0.13822
   0.15245,   0.87843,   0.38090
   0.92841,   0.23436,   0.32185
   0.44472,   0.20690,   0.41487
   0.02715,   0.24896,   0.49328
   0.14939,   0.68146,   0.40666
   0.23407,   0.97405,   0.31527
   0.13593,   0.24092,   0.46809
   0.19330,   0.64310,   0.38842
   0.47137,   0.75813,   0.24582
   0.34886,   0.32642,   0.39677
   0.64695,   0.80839,   0.18316
   0.38756,   0.25298,   0.40979
   0.73697,   0.43093,   0.26493
   0.69318,   0.61857,   0.21578
   0.45956,   0.69747,   0.26345
   0.33565,   0.67528,   0.31610
   0.45347,   0.34988,   0.36225
   0.37625,   0.15274,   0.44516
   0.61258,   0.94712,   0.16656
   0.39390,   0.60956,   0.30781
   0.86308,   0.45416,   0.23062
   0.30493,   0.32481,   0.40896
   0.14291,   0.71331,   0.40655
   0.05398,   0.64164,   0.46630
   0.13635,   0.70194,   0.41176
   0.56769,   0.09839,   0.44663
   0.22856,   0.31644,   0.43188
   0.92205,   0.20472,   0.34092
   0.88900,   0.01295,   0.48858
   0.73505,   0.80948,   0.16260
   0.79731,   0.20683,   0.35771
   0.89887,   0.34801,   0.26734
   0.88049,   0.06432,   0.44592
   0.51295,   0.47965,   0.30425
   0.95148,   0.09752,   0.41422
   0.28645,   0.55338,   0.36236
   0.13962,   0.97747,   0.37892
   0.44403,   0.98674,   0.21220
   0.71188,   0.84641,   0.16063
   0.91714,   0.77756,   0.13522
   0.49537,   0.90457,   0.20849
   0.29999,   0.95714,   0.28084
   0.65076,   0.39788,   0.29666
   0.42353,   0.49475,   0.32704
   0.61170,   0.84336,   0.18539
   0.87181,   0.34383,   0.27410
   0.58420,   0.38326,   0.31784
   0.91809,   0.52976,   0.19500
   0.16417,   0.07752,   0.48740
   0.72182,   0.18314,   0.38224
   0.88694,   0.98816,   0.10699
   0.82222,   0.39264,   0.26230
   0.30034,   0.77835,   0.31169
   0.10670,   0.35826,   0.46292
   0.31539,   0.56456,   0.34834
   0.58540,   0.85371,   0.19055
   0.37100,   0.95864,   0.24660
   0.65839,   0.58447,   0.23367
   0.54151,   0.42397,   0.31428
   0.89204,   0.37100,   0.25830
   0.51324,   0.61082,   0.26700
   0.73614,   0.65009,   0.19766
   0.16670,   0.28627,   0.45408
   0.09968,   0.88999,   0.41767
   0.53793,   0.79137,   0.21697
   0.91677,   0.59064,   0.17756
   0.10783,   0.44318,   0.45401
   0.39803,   0.77923,   0.26870
   0.05842,   0.64561,   0.46339
   0.10150,   0.55932,   0.44579
   0.37161,   0.33206,   0.38915
   0.31316,   0.75329,   0.31038
   0.09971,   0.35118,   0.46594
   0.02170,   0.53108,   0.48858
   0.83316,   0.94625,   0.12105
   0.61104,   0.15752,   0.41130
   0.24965,   0.55054,   0.37819
   0.37312,   0.62786,   0.31138
   0.18966,   0.57398,   0.40085
   0.29347,   0.20261,   0.44336
   0.77540,   0.39188,   0.27195
   0.52384,   0.07177,   0.46351
   0.81827,   0.46112,   0.23691
   0.22734,   0.20031,   0.45610
   0.25325,   0.12214,   0.46981
   0.23508,   0.93083,   0.32106
   0.93054,   0.37411,   0.25009
   0.52506,   0.37939,   0.33386
   0.15116,   0.25441,   0.46270
   0.77315,   0.54740,   0.21794
   0.73152,   0.35300,   0.29706
   0.11379,   0.92204,   0.40409
   0.53473,   0.10128,   0.44817
   0.09058,   0.11086,   0.49004
   0.42006,   0.61644,   0.29664
   0.85552,   0.21130,   0.34645
   0.03247,   0.60908,   0.48052
   0.23591,   0.20268,   0.45399
   0.11916,   0.54166,   0.43879
   0.23859,   0.50784,   0.39092
   0.19858,   0.75684,   0.36844
   0.28674,   0.04833,   0.48629
   0.60063,   0.65835,   0.22917
   0.01602,   0.51374,   0.49182
   0.48199,   0.66853,   0.26260
   0.22928,   0.08396,   0.48103
   0.90337,   0.37300,   0.25539
   0.17062,   0.11347,   0.48093
   0.06325,   0.78483,   0.45231
   0.30215,   0.10024,   0.47043
   0.90999,   0.45108,   0.22300
   0.34226,   0.76105,   0.29576
   0.09055,   0.11321,   0.48983
   0.40345,   0.69763,   0.28393
   0.41717,   0.39303,   0.35839
   0.15122,   0.51309,   0.42727
   0.50946,   0.22950,   0.39432
   0.27142,   0.31771,   0.41980
   0.88462,   0.14088,   0.38817
   0.86317,   0.38876,   0.25606
   0.27861,   0.07520,   0.47939
   0.42831,   0.95286,   0.22395
   0.04944,   0.05375,   0.49735
   0.69923,   0.71137,   0.19132
   0.73544,   0.75772,   0.17296
   0.67658,   0.05319,   0.46503
   0.85194,   0.17701,   0.36806
   0.79686,   0.14422,   0.39592
   0.24577,   0.65082,   0.36131
   0.31758,   0.46975,   0.36927
   0.05637,   0.16819,   0.49059
   0.23083,   0.63128,   0.37188
   0.51966,   0.18898,   0.40966
   0.79426,   0.72237,   0.16832
   0.97472,   0.22479,   0.32088
   0.13943,   0.66577,   0.41418
   0.94714,   0.54859,   0.18422
   0.34274,   0.61089,   0.32715
   0.54441,   0.38692,   0.32633
   0.41475,   0.00522,   0.49784
   0.73987,   0.06960,   0.45061
   0.31625,   0.08349,   0.47413
   0.31772,   0.02288,   0.49277
   0.68502,   0.81631,   0.17241
   0.87735,   0.72704,   0.15184
   0.78225,   0.56543,   0.21064
   0.18961,   0.57456,   0.40078
   0.59395,   0.91112,   0.17766
   0.88626,   0.63902,   0.17038
   0.22150,   0.60050,   0.38161
   0.40914,   0.63303,   0.29661
   0.73675,   0.10748,   0.42587
   0.66448,   0.39305,   0.29535
   0.52367,   0.12271,   0.43904
   0.51022,   0.37660,   0.33861
   0.14443,   0.66340,   0.41167
   0.74882,   0.74933,   0.17186
   0.48810,   0.80690,   0.22983
   0.46917,   0.89806,   0.21867
   0.59475,   0.34163,   0.33122
   0.66922,   0.09891,   0.43732
   0.53330,   0.58908,   0.26666
   0.05812,   0.63897,   0.46394
   0.44660,   0.71965,   0.26301
   0.77571,   0.08475,   0.43772
   0.83838,   0.72837,   0.15855
   0.14809,   0.60392,   0.41706
   0.73504,   0.66881,   0.19325
   0.60455,   0.81769,   0.19234
   0.75726,   0.81591,   0.15674
   0.51498,   0.11409,   0.44399
