x1,x2,y1
   0.58962,   0.13662,   0.42460
   0.66204,   0.98721,   0.14816
   0.89748,   0.57891,   0.18422
   0.06487,   0.10834,   0.49299
   0.44753,   0.33835,   0.36756
   0.32247,   0.90612,   0.27812
   0.10081,   0.75143,   0.42886
   0.82742,   0.67718,   0.17209
   0.24676,   0.24795,   0.44177
   0.87831,   0.01833,   0.48391
   0.08204,   0.29747,   0.47604
   0.59028,   0.43395,   0.29824
   0.44396,   0.10416,   0.45537
   0.25270,   0.36759,   0.41410
   0.65095,   0.28329,   0.34386
   0.84202,   0.82976,   0.13822
   0.15244,   0.87848,   0.38090
   0.92842,   0.23420,   0.32185
   0.44471,   0.20674,   0.41487
   0.02713,   0.24882,   0.49328
   0.14937,   0.68145,   0.40666
   0.23406,   0.97413,   0.31527
   0.13591,   0.24077,   0.46809
   0.19328,   0.64308,   0.38842
   0.47136,   0.75815,   0.24582
   0.34885,   0.32630,   0.39677
   0.64696,   0.80842,   0.18316
   0.38756,   0.25283,   0.40979
   0.73698,   0.43084,   0.26493
   0.69319,   0.61854,   0.21578
   0.45956,   0.69746,   0.26345
   0.33565,   0.67526,   0.31610
   0.45347,   0.34976,   0.36225
   0.37625,   0.15257,   0.44516
   0.61258,   0.94719,   0.16656
   0.39390,   0.60953,   0.30781
   0.86309,   0.45408,   0.23062
   0.30492,   0.32469,   0.40896
   0.14290,   0.71331,   0.40655
   0.05396,   0.64161,   0.46630
   0.13633,   0.70194,   0.41176
   0.56770,   0.09819,   0.44663
   0.22854,   0.31632,   0.43188
   0.92207,   0.20456,   0.34092
   0.88901,   0.01273,   0.48858
   0.73506,   0.80951,   0.16260
   0.79732,   0.20667,   0.35771
   0.89889,   0.34789,   0.26734
   0.88051,   0.06411,   0.44592
   0.51295,   0.47957,   0.30425
   0.95150,   0.09732,   0.41422
   0.28644,   0.55333,   0.36236
   0.13961,   0.97755,   0.37892
   0.44403,   0.98682,   0.21220
   0.71189,   0.84645,   0.16063
   0.91715,   0.77758,   0.13522
   0.49537,   0.90462,   0.20849
   0.29998,   0.95721,   0.28084
   0.65076,   0.39777,   0.29666
   0.42352,   0.49468,   0.32704
   0.61170,   0.84340,   0.18539
   0.87183,   0.34371,   0.27410
   0.58421,   0.38316,   0.31784
   0.91811,   0.52970,   0.19500
   0.16415,   0.07732,   0.48740
   0.72183,   0.18297,   0.38224
   0.88696,   0.98824,   0.10699
   0.82224,   0.39254,   0.26230
   0.30033,   0.77837,   0.31169
   0.10668,   0.35815,   0.46292
   0.31538,   0.56451,   0.34834
   0.58541,   0.85375,   0.19055
   0.37100,   0.95871,   0.24660
   0.65839,   0.58442,   0.23367
   0.54151,   0.42388,   0.31428
   0.89206,   0.37089,   0.25830
   0.51324,   0.61079,   0.26700
   0.73615,   0.65007,   0.19766
   0.16669,   0.28614,   0.45408
   0.09967,   0.89004,   0.41767
   0.53793,   0.79139,   0.21697
   0.91678,   0.59060,   0.17756
   0.10782,   0.44309,   0.45401
   0.39802,   0.77924,   0.26870
   0.05840,   0.64559,   0.46339
   0.10148,   0.55927,   0.44579
   0.37160,   0.33194,   0.38915
   0.31315,   0.75330,   0.31038
   0.09969,   0.35106,   0.46594
   0.02167,   0.53102,   0.48858
   0.83317,   0.94632,   0.12105
   0.61104,   0.15734,   0.41130
   0.24963,   0.55049,   0.37819
   0.37311,   0.62783,   0.31138
   0.18964,   0.57393,   0.40085
   0.29346,   0.20244,   0.44336
   0.77541,   0.39178,   0.27195
   0.52384,   0.07157,   0.46351
   0.81828,   0.46103,   0.23691
   0.22732,   0.20015,   0.45610
   0.25324,   0.12196,   0.46981
   0.23506,   0.93090,   0.32106
   0.93056,   0.37400,   0.25009
   0.52506,   0.37928,   0.33386
   0.15115,   0.25426,   0.46270
   0.77316,   0.54734,   0.21794
   0.73153,   0.35288,   0.29706
   0.11377,   0.92210,   0.40409
   0.53473,   0.10108,   0.44817
   0.09056,   0.11067,   0.49004
   0.42006,   0.61641,   0.29664
   0.85553,   0.21114,   0.34645
   0.03245,   0.60904,   0.48052
   0.23590,   0.20252,   0.45399
   0.11914,   0.54161,   0.43879
   0.23858,   0.50777,   0.39092
   0.19857,   0.75685,   0.36844
   0.28673,   0.04811,   0.48629
   0.60064,   0.65833,   0.22917
   0.01599,   0.51367,   0.49182
   0.48199,   0.66851,   0.26260
   0.22927,   0.08376,   0.48103
   0.90339,   0.37289,   0.25539
   0.17061,   0.11328,   0.48093
   0.06323,   0.78485,   0.45231
   0.30214,   0.10004,   0.47043
   0.91000,   0.45099,   0.22300
   0.34225,   0.76107,   0.29576
   0.09054,   0.11302,   0.48983
   0.40344,   0.69763,   0.28393
   0.41716,   0.39292,   0.35839
   0.15120,   0.51302,   0.42727
   0.50946,   0.22934,   0.39432
   0.27141,   0.31758,   0.41980
   0.88464,   0.14070,   0.38817
   0.86318,   0.38866,   0.25606
   0.27859,   0.07500,   0.47939
   0.42831,   0.95294,   0.22395
   0.04942,   0.05354,   0.49735
   0.69924,   0.71137,   0.19132
   0.73545,   0.75773,   0.17296
   0.67659,   0.05298,   0.46503
   0.85196,   0.17684,   0.36806
   0.79688,   0.14404,   0.39592
   0.24576,   0.65079,   0.36131
   0.31757,   0.46967,   0.36927
   0.05635,   0.16801,   0.49059
   0.23081,   0.63125,   0.37188
   0.51966,   0.18881,   0.40966
   0.79427,   0.72237,   0.16832
   0.97474,   0.22463,   0.32088
   0.13941,   0.66575,   0.41418
   0.94716,   0.54853,   0.18422
   0.34273,   0.61085,   0.32715
   0.54441,   0.38681,   0.32633
   0.41475,   0.00500,   0.49784
   0.73988,   0.06939,   0.45061
   0.31624,   0.08329,   0.47413
   0.31771,   0.02266,   0.49277
   0.68503,   0.81634,   0.17241
   0.87737,   0.72704,   0.15184
   0.78226,   0.56538,   0.21064
   0.18959,   0.57452,   0.40078
   0.59395,   0.91118,   0.17766
   0.88628,   0.63900,   0.17038
   0.22148,   0.60046,   0.38161
   0.40914,   0.63300,   0.29661
   0.73676,   0.10729,   0.42587
