x1,x2,y1
   0.14801,   0.86657,   0.38531
   0.74665,   0.91054,   0.14224
   0.82523,   0.88020,   0.13256
   0.39407,   0.55724,   0.32057
   0.14747,   0.47029,   0.43450
   0.81813,   0.05442,   0.45704
   0.83377,   0.01792,   0.48523
   0.27429,   0.42346,   0.39494
   0.64021,   0.12111,   0.42731
   0.44966,   0.78768,   0.24728
   0.59667,   0.42989,   0.29806
   0.10456,   0.77444,   0.42433
   0.75753,   0.58106,   0.21144
   0.40918,   0.71063,   0.27887
   0.38211,   0.24473,   0.41360
   0.05480,   0.58923,   0.46852
   0.41578,   0.69909,   0.27893
   0.64840,   0.34542,   0.31780
   0.74216,   0.22695,   0.35517
   0.93127,   0.89666,   0.11329
   0.83037,   0.03743,   0.46967
   0.63641,   0.97847,   0.15553
   0.40909,   0.38109,   0.36428
   0.82187,   0.39548,   0.26121
   0.18380,   0.39389,   0.43182
   0.09008,   0.28194,   0.47510
   0.64958,   0.66917,   0.21352
   0.91772,   0.95151,   0.10746
   0.45165,   0.41954,   0.34043
   0.78969,   0.32707,   0.29703
   0.84151,   0.14867,   0.38779
   0.49404,   0.87309,   0.21479
   0.91390,   0.41289,   0.23690
   0.42757,   0.57303,   0.30486
   0.30269,   0.47693,   0.37291
   0.13309,   0.26345,   0.46590
   0.51538,   0.87322,   0.20778
   0.04373,   0.56343,   0.47583
   0.01463,   0.66414,   0.49036
   0.39875,   0.49084,   0.33620
   0.33667,   0.53853,   0.34607
   0.66765,   0.17636,   0.39365
   0.79781,   0.70780,   0.17085
   0.90324,   0.43669,   0.22959
   0.70322,   0.72242,   0.18788
   0.01238,   0.54424,   0.49330
   0.85117,   0.18329,   0.36420
   0.10352,   0.50333,   0.45004
   0.99827,   0.90445,   0.10323
   0.21706,   0.07054,   0.48487
   0.52750,   0.28987,   0.36650
   0.68415,   0.30419,   0.32798
   0.93536,   0.43162,   0.22574
   0.42834,   0.26477,   0.39715
   0.52318,   0.95793,   0.19009
   0.47923,   0.46591,   0.31823
   0.23920,   0.03383,   0.49196
   0.74726,   0.04003,   0.47078
   0.05922,   0.88870,   0.44957
   0.68516,   0.25880,   0.34886
   0.19539,   0.43078,   0.42157
   0.75114,   0.65181,   0.19391
   0.26084,   0.33404,   0.41903
   0.84756,   0.03427,   0.47161
   0.83008,   0.80677,   0.14449
   0.57277,   0.28180,   0.36024
   0.80672,   0.19717,   0.36196
   0.88497,   0.13689,   0.39093
   0.21713,   0.61081,   0.38191
   0.03177,   0.71753,   0.47761
   0.90809,   0.43241,   0.23033
   0.66907,   0.65400,   0.21242
   0.27474,   0.21675,   0.44328
   0.79969,   0.70486,   0.17114
   0.30695,   0.86061,   0.29363
   0.23311,   0.20627,   0.45374
   0.60968,   0.98865,   0.16057
   0.55907,   0.35505,   0.33434
   0.40453,   0.94044,   0.23555
   0.32766,   0.79122,   0.29647
   0.80181,   0.86684,   0.13897
   0.14288,   0.26376,   0.46343
   0.06734,   0.61470,   0.45995
   0.52512,   0.22554,   0.39310
   0.02358,   0.90224,   0.47907
   0.67752,   0.15456,   0.40425
   0.32449,   0.27787,   0.41644
   0.47752,   0.42685,   0.33079
   0.74546,   0.56374,   0.21910
   0.95547,   0.66909,   0.15150
   0.77156,   0.12990,   0.40798
   0.09580,   0.34539,   0.46776
   0.52758,   0.08228,   0.45807
   0.89309,   0.86846,   0.12330
   0.69659,   0.57751,   0.22633
   0.28733,   0.32227,   0.41438
   0.09402,   0.58814,   0.44713
   0.12029,   0.74241,   0.41717
   0.15052,   0.07023,   0.48951
   0.96646,   0.50239,   0.19528
