x1,x2,y1
   0.13757,   0.87424,   0.38531
   0.74478,   0.91953,   0.14224
   0.82449,   0.88828,   0.13256
   0.38715,   0.55558,   0.32057
   0.13703,   0.46601,   0.43450
   0.81728,   0.03760,   0.45704
   0.83315,   0.00000,   0.48523
   0.26566,   0.41777,   0.39494
   0.63682,   0.10630,   0.42731
   0.44354,   0.79297,   0.24728
   0.59265,   0.42439,   0.29806
   0.09350,   0.77933,   0.42433
   0.75582,   0.58011,   0.21144
   0.40248,   0.71360,   0.27887
   0.37502,   0.23365,   0.41360
   0.04303,   0.58854,   0.46852
   0.40918,   0.70170,   0.27893
   0.64512,   0.33737,   0.31780
   0.74023,   0.21533,   0.35517
   0.93205,   0.90524,   0.11329
   0.82970,   0.02010,   0.46967
   0.63296,   0.98951,   0.15553
   0.40239,   0.37412,   0.36428
   0.82108,   0.38895,   0.26121
   0.17387,   0.38731,   0.43182
   0.07881,   0.27198,   0.47510
   0.64633,   0.67088,   0.21352
   0.91830,   0.96174,   0.10746
   0.44556,   0.41373,   0.34043
   0.78843,   0.31847,   0.29703
   0.84100,   0.13469,   0.38779
   0.48856,   0.88095,   0.21479
   0.91442,   0.40687,   0.23690
   0.42113,   0.57184,   0.30486
   0.29446,   0.47285,   0.37291
   0.12244,   0.25293,   0.46590
   0.51020,   0.88109,   0.20778
   0.03180,   0.56196,   0.47583
   0.00228,   0.66570,   0.49036
   0.39190,   0.48718,   0.33620
   0.32893,   0.53630,   0.34607
   0.66465,   0.16322,   0.39365
   0.79667,   0.71068,   0.17085
   0.90362,   0.43140,   0.22959
   0.70073,   0.72574,   0.18788
   0.00000,   0.54218,   0.49330
   0.85080,   0.17035,   0.36420
   0.09245,   0.50004,   0.45004
   1.00000,   0.91326,   0.10323
   0.20761,   0.05420,   0.48487
   0.52249,   0.28015,   0.36650
   0.68138,   0.29490,   0.32798
   0.93619,   0.42617,   0.22574
   0.42192,   0.25430,   0.39715
   0.51812,   0.96835,   0.19009
   0.47354,   0.46149,   0.31823
   0.23007,   0.01639,   0.49196
   0.74540,   0.02278,   0.47078
   0.04751,   0.89703,   0.44957
   0.68241,   0.24815,   0.34886
   0.18563,   0.42530,   0.42157
   0.74933,   0.65300,   0.19391
   0.25202,   0.32565,   0.41903
   0.84714,   0.01684,   0.47161
   0.82941,   0.81263,   0.14449
   0.56842,   0.27184,   0.36024
   0.80571,   0.18466,   0.36196
   0.88509,   0.12256,   0.39093
   0.20768,   0.61076,   0.38191
   0.01966,   0.72070,   0.47761
   0.90853,   0.42699,   0.23033
   0.66609,   0.65525,   0.21242
   0.26611,   0.20483,   0.44328
   0.79858,   0.70766,   0.17114
   0.29879,   0.86810,   0.29363
   0.22389,   0.19403,   0.45374
   0.60585,   1.00000,   0.16057
   0.55451,   0.34730,   0.33434
   0.39776,   0.95034,   0.23555
   0.31979,   0.79661,   0.29647
   0.80074,   0.87452,   0.13897
   0.13236,   0.25325,   0.46343
   0.05574,   0.61477,   0.45995
   0.52008,   0.21388,   0.39310
   0.01136,   0.91098,   0.47907
   0.67466,   0.14076,   0.40425
   0.31658,   0.26778,   0.41644
   0.47180,   0.42126,   0.33079
   0.74358,   0.56227,   0.21910
   0.95659,   0.67080,   0.15150
   0.77005,   0.11535,   0.40798
   0.08461,   0.33734,   0.46776
   0.52257,   0.06630,   0.45807
   0.89332,   0.87618,   0.12330
   0.69401,   0.57646,   0.22633
   0.27889,   0.31352,   0.41438
   0.08281,   0.58741,   0.44713
   0.10945,   0.74633,   0.41717
   0.14011,   0.05389,   0.48951
   0.96774,   0.49908,   0.19528
