x1,y1
   0.58963,  18.02069
   0.13679,   2.96698
   0.66206,  21.64532
   0.98718,  42.05279
   0.89750,  35.74849
   0.57897,  17.51558
   0.06487,   1.78364
   0.10852,   2.46226
   0.44754,  11.88435
   0.33848,   8.05078
   0.32248,   7.55260
   0.90610,  36.33072
   0.10081,   2.33361
   0.75145,  26.58223
   0.82744,  31.18124
   0.67723,  22.44710
   0.24677,   5.41646
   0.24809,   5.45068
   0.87833,  34.46756
   0.01853,   1.19653
   0.08204,   2.03611
   0.29760,   6.81007
   0.59030,  18.05234
   0.43405,  11.36894
   0.44397,  11.74700
   0.10433,   2.39192
   0.25271,   5.57078
   0.36771,   9.00365
   0.65097,  21.06864
   0.28342,   6.40484
   0.84205,  32.10745
   0.82976,  31.32729
   0.15244,   3.26830
   0.87847,  34.47678
   0.92845,  37.86609
   0.23435,   5.10110
   0.44473,  11.77596
   0.20690,   4.43896
   0.02713,   1.29509
   0.24896,   5.47311
   0.14938,   3.20805
   0.68149,  22.67527
   0.23406,   5.09390
   0.97410,  41.10149
   0.13591,   2.95053
   0.24091,   5.26651
   0.19329,   4.12867
   0.64313,  20.66554
   0.47138,  12.82360
   0.75817,  26.97394
   0.34887,   8.38318
   0.32642,   7.67388
   0.64698,  20.86315
   0.80843,  29.99569
   0.38757,   9.68223
   0.25297,   5.57771
   0.73700,  25.74945
   0.43094,  11.25159
   0.69321,  23.30765
   0.61860,  19.43006
   0.45957,  12.35383
   0.69750,  23.54149
   0.33566,   7.96177
   0.67530,  22.34474
   0.45348,  12.11505
   0.34988,   8.41613
   0.37626,   9.29266
   0.15273,   3.27404
   0.61260,  19.13385
   0.94717,  39.17617
   0.39391,   9.90420
   0.60959,  18.98583
   0.86312,  33.46772
   0.45417,  12.14203
   0.30493,   7.02482
   0.32481,   7.62423
   0.14290,   3.08273
   0.71334,  24.41505
   0.05396,   1.63300
   0.64166,  20.59066
   0.13633,   2.95835
   0.70197,  23.78653
   0.56771,  16.98982
   0.09837,   2.29362
   0.22855,   4.95716
   0.31644,   7.36878
   0.92210,  37.42641
   0.20471,   4.38838
   0.88904,  35.18011
   0.01293,   1.13492
   0.73508,  25.63982
   0.80952,  30.06310
   0.79734,  29.31541
   0.20682,   4.43719
   0.89892,  35.84387
   0.34801,   8.35569
   0.88053,  34.61332
   0.06430,   1.77557
   0.51296,  14.54912
   0.47966,  13.15855
   0.95153,  39.48465
   0.09750,   2.27949
   0.28645,   6.49034
   0.55340,  16.33310
   0.13961,   3.02009
   0.97752,  41.34888
   0.44404,  11.74963
   0.98679,  42.02413
   0.71191,  24.33568
   0.84645,  32.38949
   0.91718,  37.08786
   0.77760,  28.12301
   0.49539,  13.80641
   0.90461,  36.22930
   0.29999,   6.87976
   0.95718,  39.88683
   0.65078,  21.05899
   0.39788,  10.04455
   0.42353,  10.97521
   0.49477,  13.78049
   0.61172,  19.09048
   0.84340,  32.19368
   0.87185,  34.03985
   0.34383,   8.22138
   0.58422,  17.76348
   0.38327,   9.53311
   0.91814,  37.15355
   0.52978,  15.27834
   0.16415,   3.50407
   0.07751,   1.96755
   0.72185,  24.89120
   0.18313,   3.90468
   0.88698,  35.04254
   0.98821,  42.12803
   0.82226,  30.85580
   0.39265,   9.85981
   0.30034,   6.88989
   0.77838,  28.16998
   0.10668,   2.43128
   0.35827,   8.68996
   0.31539,   7.33698
   0.56458,  16.84486
   0.58542,  17.82037
   0.85375,  32.85912
   0.37101,   9.11468
   0.95869,  39.99397
   0.65841,  21.45511
   0.58449,  17.77591
   0.54153,  15.79847
   0.42398,  10.99176
   0.89208,  35.38391
   0.37100,   9.11450
   0.51325,  14.56157
   0.61084,  19.04756
   0.73617,  25.70236
   0.65011,  21.02457
   0.16669,   3.55634
   0.28627,   6.48520
   0.09967,   2.31482
   0.89003,  35.24657
   0.53794,  15.63893
   0.79141,  28.95439
   0.91681,  37.06232
   0.59067,  18.07000
   0.10782,   2.45045
   0.44319,  11.71672
   0.39803,  10.04994
   0.77926,  28.22252
   0.05841,   1.69348
   0.64564,  20.79423
   0.10148,   2.34464
   0.55934,  16.60406
   0.37161,   9.13495
   0.33206,   7.84908
   0.31316,   7.26982
   0.75332,  26.69094
   0.09969,   2.31520
   0.35118,   8.45815
   0.02167,   1.23202
   0.53110,  15.33635
   0.83320,  31.54458
   0.94630,  39.11486
   0.61106,  19.05801
   0.15751,   3.36917
   0.24964,   5.49080
   0.55056,  16.20437
   0.37312,   9.18618
   0.62788,  19.89329
   0.18965,   4.04762
   0.57400,  17.28212
   0.29347,   6.69062
   0.20260,   4.33962
   0.77543,  27.99360
   0.39189,   9.83302
   0.52386,  15.01947
   0.07176,   1.88260
   0.81830,  30.60854
   0.46113,  12.41525
   0.22733,   4.92715
   0.20031,   4.28716
   0.25325,   5.58485
   0.12213,   2.69885
   0.23507,   5.11909
