x1,y1
   6.30651,  39.77209
   2.23126,   4.97852
   6.95826,  48.41738
   9.88415,  97.69650
   9.07714,  82.39445
   6.21059,  38.57146
   1.58401,   2.50907
   1.97679,   3.90771
   5.02777,  25.27846
   4.04626,  16.37221
   3.90232,  15.22813
   9.15452,  83.80533
   1.90746,   3.63839
   7.76275,  60.26028
   8.44665,  71.34586
   7.09478,  50.33596
   3.22097,  10.37462
   3.23289,  10.45157
   8.90462,  79.29227
   1.16697,   1.36181
   1.73856,   3.02258
   3.67839,  13.53054
   6.31248,  39.84736
   4.90637,  24.07246
   4.99568,  24.95686
   1.93914,   3.76026
   3.27442,  10.72181
   4.30934,  18.57041
   6.85848,  47.03873
   3.55084,  12.60845
   8.57808,  73.58355
   8.46750,  71.69861
   2.37209,   5.62680
   8.90587,  79.31458
   9.35566,  87.52833
   3.10921,   9.66718
   5.00246,  25.02464
   2.86214,   8.19187
   1.24435,   1.54841
   3.24068,  10.50200
   2.34451,   5.49671
   7.13318,  50.88231
   3.10661,   9.65105
   9.76648,  95.38412
   2.22335,   4.94330
   3.16826,  10.03789
   2.73970,   7.50594
   6.78791,  46.07573
   5.24229,  27.48162
   7.82321,  61.20268
   4.13976,  17.13762
   3.93780,  15.50629
   6.82259,  46.54775
   8.27551,  68.48399
   4.48808,  20.14283
   3.27680,  10.73744
   7.63269,  58.25797
   4.87834,  23.79818
   7.23860,  52.39736
   6.56717,  43.12777
   5.13603,  26.37884
   7.27722,  52.95790
   4.02088,  16.16751
   7.07749,  50.09091
   5.08124,  25.81896
   4.14893,  17.21359
   4.38628,  19.23944
   2.37470,   5.63922
   6.51320,  42.42183
   9.52406,  90.70765
   4.54514,  20.65833
   6.48608,  42.06921
   8.76770,  76.87265
   5.08746,  25.88221
   3.74440,  14.02051
   3.92332,  15.39240
   2.28623,   5.22685
   7.41979,  55.05327
   1.48579,   2.20758
   6.77472,  45.89689
   2.22711,   4.96003
   7.31748,  53.54546
   6.10925,  37.32296
   1.88548,   3.55502
   3.05700,   9.34525
   3.84798,  14.80698
   9.29849,  86.46183
   2.84250,   8.07980
   9.00098,  81.01761
   1.11659,   1.24678
   7.61541,  57.99451
   8.28533,  68.64664
   8.17576,  66.84307
   2.86146,   8.18794
   9.08986,  82.62553
   4.13210,  17.07426
