x1,y1
   0.58963,  39.77209
   0.13679,   4.97852
   0.66206,  48.41738
   0.98718,  97.69650
   0.89750,  82.39445
   0.57897,  38.57146
   0.06487,   2.50907
   0.10852,   3.90771
   0.44754,  25.27846
   0.33848,  16.37221
   0.32248,  15.22813
   0.90610,  83.80533
   0.10081,   3.63839
   0.75145,  60.26028
   0.82744,  71.34586
   0.67723,  50.33596
   0.24677,  10.37462
   0.24809,  10.45157
   0.87833,  79.29227
   0.01853,   1.36181
   0.08204,   3.02258
   0.29760,  13.53054
   0.59030,  39.84736
   0.43405,  24.07246
   0.44397,  24.95686
   0.10433,   3.76026
   0.25271,  10.72181
   0.36771,  18.57041
   0.65097,  47.03873
   0.28342,  12.60845
   0.84205,  73.58355
   0.82976,  71.69861
   0.15244,   5.62680
   0.87847,  79.31458
   0.92845,  87.52833
   0.23435,   9.66718
   0.44473,  25.02464
   0.20690,   8.19187
   0.02713,   1.54841
   0.24896,  10.50200
   0.14938,   5.49671
   0.68149,  50.88231
   0.23406,   9.65105
   0.97410,  95.38412
   0.13591,   4.94330
   0.24091,  10.03789
   0.19329,   7.50594
   0.64313,  46.07573
   0.47138,  27.48162
   0.75817,  61.20268
   0.34887,  17.13762
   0.32642,  15.50629
   0.64698,  46.54775
   0.80843,  68.48399
   0.38757,  20.14283
   0.25297,  10.73744
   0.73700,  58.25797
   0.43094,  23.79818
   0.69321,  52.39736
   0.61860,  43.12777
   0.45957,  26.37884
   0.69750,  52.95790
   0.33566,  16.16751
   0.67530,  50.09091
   0.45348,  25.81896
   0.34988,  17.21359
   0.37626,  19.23944
   0.15273,   5.63922
   0.61260,  42.42183
   0.94717,  90.70765
   0.39391,  20.65833
   0.60959,  42.06921
   0.86312,  76.87265
   0.45417,  25.88221
   0.30493,  14.02051
   0.32481,  15.39240
   0.14290,   5.22685
   0.71334,  55.05327
   0.05396,   2.20758
   0.64166,  45.89689
   0.13633,   4.96003
   0.70197,  53.54546
   0.56771,  37.32296
   0.09837,   3.55502
   0.22855,   9.34525
   0.31644,  14.80698
   0.92210,  86.46183
   0.20471,   8.07980
   0.88904,  81.01761
   0.01293,   1.24678
   0.73508,  57.99451
   0.80952,  68.64664
   0.79734,  66.84307
   0.20682,   8.18794
   0.89892,  82.62553
   0.34801,  17.07426
   0.88053,  79.64512
   0.06430,   2.49282
   0.51296,  31.54530
   0.47966,  28.26888
   0.95153,  91.45659
   0.09750,   3.52560
   0.28645,  12.80273
   0.55340,  35.76532
   0.13961,   5.09235
   0.97752,  95.98536
   0.44404,  24.96301
   0.98679,  97.62681
   0.71191,  54.86279
   0.84645,  74.26524
   0.91718,  85.64084
   0.77760,  63.96918
   0.49539,  29.79379
   0.90461,  83.55953
   0.29999,  13.68945
   0.95718,  92.43324
   0.65078,  47.01568
   0.39788,  20.98455
   0.42353,  23.15271
   0.49477,  29.73273
   0.61172,  42.31850
   0.84340,  73.79195
   0.87185,  78.25701
   0.34383,  16.76485
   0.58422,  39.16058
   0.38327,  19.79683
   0.91814,  85.80013
   0.52978,  33.26816
   0.16415,   6.13797
   0.07751,   2.88221
   0.72185,  56.19625
   0.18313,   7.01326
   0.88698,  80.68443
   0.98821,  97.87943
   0.82226,  70.56000
   0.39265,  20.55521
   0.30034,  13.71256
   0.77838,  64.08234
   0.10668,   3.84269
   0.35827,  17.84540
   0.31539,  14.73419
   0.56458,  36.97896
   0.58542,  39.29580
   0.85375,  75.40067
   0.37101,  18.82730
   0.95869,  92.69344
   0.65841,  47.96253
   0.58449,  39.19011
   0.54153,  34.49885
   0.42398,  23.19136
   0.89208,  81.51123
   0.37100,  18.82690
   0.51325,  31.57467
   0.61084,  42.21624
   0.73617,  58.14482
   0.65011,  46.93341
   0.16669,   6.25170
   0.28627,  12.79105
   0.09967,   3.59921
   0.89003,  81.17858
   0.53794,  34.12120
   0.79141,  65.97264
   0.91681,  85.57892
   0.59067,  39.88935
   0.10782,   3.88291
   0.44319,  24.88597
   0.39803,  20.99708
   0.77926,  64.20889
   0.05841,   2.32814
   0.64564,  46.38309
   0.10148,   3.66141
   0.55934,  36.40774
   0.37161,  18.87423
   0.33206,  15.90854
   0.31316,  14.58050
   0.75332,  60.52180
   0.09969,   3.60000
   0.35118,  17.31046
   0.02167,   1.42864
   0.53110,  33.40535
   0.83320,  72.22348
   0.94630,  90.55880
   0.61106,  42.24114
   0.15751,   5.84510
   0.24964,  10.54180
   0.55056,  35.46025
   0.37312,  18.99284
   0.62788,  44.23242
   0.18965,   7.32742
   0.57400,  38.01691
   0.29347,  13.25841
   0.20260,   7.97185
   0.77543,  63.65746
   0.39189,  20.49296
   0.52386,  32.65620
   0.07176,   2.70922
   0.81830,  69.96304
   0.46113,  26.52293
   0.22733,   9.27821
   0.20031,   7.85583
   0.25325,  10.75350
   0.12213,   4.40703
   0.23507,   9.70746
   0.93088,  87.93732
   0.93059,  87.88879
   0.37412,  19.07081
   0.52508,  32.78206
   0.37939,  19.48789
   0.15115,   5.57180
   0.25440,  10.82200
   0.77318,  63.33488
   0.54742,  35.12457
   0.73155,  57.51258
   0.35300,  17.44724
   0.11377,   4.09693
   0.92209,  86.45941
   0.53474,  33.78564
   0.10126,   3.65377
   0.09056,   3.29497
   0.11084,   3.99087
   0.42007,  22.85387
   0.61647,  42.87618
   0.85556,  75.68366
   0.21129,   8.41971
   0.03245,   1.66991
   0.60910,  42.01257
   0.23590,   9.75427
   0.20267,   7.97567
   0.11914,   4.29493
   0.54168,  34.51521
   0.23859,   9.90563
   0.50785,  31.03079
   0.19857,   7.76872
   0.75688,  61.02091
   0.28674,  12.82120
   0.04831,   2.05901
   0.60065,  41.03282
   0.65838,  47.95780
   0.01599,   1.30905
   0.51375,  31.62522
   0.48200,  28.49348
   0.66855,  49.23450
   0.22928,   9.38540
   0.08394,   3.08219
   0.90342,  83.36346
   0.37300,  18.98306
   0.17061,   6.42939
   0.11345,   4.08529
   0.06323,   2.46243
   0.78487,  65.02011
   0.30215,  13.83360
   0.10022,   3.61821
   0.91003,  84.45390
   0.45109,  25.60076
   0.34226,  16.64884
   0.76109,  61.61452
   0.09054,   3.29419
   0.11320,   4.07601
   0.40346,  21.44650
   0.69766,  52.97958
   0.41718,  22.60549
   0.39303,  20.58656
   0.15121,   5.57428
   0.51310,  31.55935
   0.50947,  31.19353
   0.22949,   9.39706
   0.27141,  11.85253
   0.31771,  14.89470
   0.88466,  80.30988
   0.14087,   5.14363
   0.86321,  76.88651
   0.38877,  20.23965
   0.27860,  12.30222
   0.07518,   2.81167
   0.42832,  23.56919
   0.95291,  91.69562
   0.04942,   2.08793
   0.05373,   2.20153
   0.69926,  53.18901
   0.71140,  54.79511
   0.73547,  58.04885
   0.75775,  61.14433
   0.67661,  50.25751
   0.05317,   2.18645
   0.85198,  75.12538
   0.17700,   6.72411
   0.79690,  66.77786
   0.14421,   5.28072
   0.24577,  10.31660
   0.65084,  47.02316
   0.31758,  14.88594
   0.46976,  27.32962
   0.05635,   2.27196
   0.16818,   6.31862
   0.23082,   9.47059
   0.63130,  44.64240
   0.51967,  32.22720
   0.18897,   7.29450
   0.79430,  66.39584
   0.72240,  56.26939
   0.97477,  95.50103
   0.22478,   9.13898
   0.13942,   5.08451
   0.66580,  48.88739
   0.94719,  90.71230
   0.54860,  35.25129
   0.34274,  16.68420
   0.61091,  42.22375
   0.54443,  34.80634
   0.38692,  20.09050
   0.41476,  22.39911
   0.00520,   1.09617
   0.73990,  58.65785
   0.06958,   2.64510
   0.31625,  14.79350
   0.08348,   3.06755
   0.31772,  14.89569
   0.02286,   1.45433
   0.68505,  51.33970
   0.81635,  69.66872
   0.87739,  79.14143
   0.72707,  56.90279
   0.78229,  64.64600
   0.56545,  37.07473
   0.18960,   7.32509
   0.57458,  38.08216
   0.59397,  40.26545
   0.91117,  84.64162
   0.88631,  80.57523
   0.63905,  45.57888
   0.22149,   8.96080
   0.60052,  41.01747
