x1,y1
   8.86666,  78.61758
   3.10319,   9.62977
   2.09337,   4.38221
   3.53825,  12.51919
   6.49164,  42.14145
   3.15080,   9.92752
   1.05080,   1.10417
   3.62634,  13.15032
   5.29094,  27.99409
   8.64782,  74.78472
   2.44655,   5.98562
   3.14059,   9.86333
   6.98965,  48.85519
   9.34387,  87.30788
   9.17747,  84.22591
   9.07200,  82.30114
   3.78001,  14.28851
   1.63120,   2.66080
   4.20532,  17.68475
   7.39004,  54.61274
   2.13122,   4.54211
   7.04062,  49.57031
   8.53930,  72.91972
   6.51642,  42.46374
   8.16288,  66.63258
   8.94526,  80.01763
   1.36018,   1.85009
   7.62841,  58.19267
   9.09332,  82.68845
   1.22512,   1.50092
   2.11434,   4.47042
   4.47567,  20.03158
   3.14177,   9.87071
   3.84848,  14.81080
   7.91719,  62.68186
   4.15512,  17.26503
   8.48780,  72.04269
   8.58546,  73.71017
   4.14441,  17.17610
   5.33072,  28.41658
   4.40727,  19.42401
   3.37039,  11.35954
   8.89154,  79.05950
   9.47574,  89.78962
   8.69761,  75.64841
   2.56555,   6.58204
   8.99062,  80.83126
   9.62922,  92.72181
   5.48675,  30.10437
   3.60729,  13.01251
   1.54450,   2.38548
   3.64636,  13.29598
   6.41460,  41.14713
   8.57216,  73.48191
   9.60544,  92.26447
   8.36627,  69.99439
   2.17356,   4.72438
   8.02283,  64.36586
   2.89196,   8.36346
   6.60340,  43.60484
   3.53887,  12.52360
   9.80908,  96.21805
   2.61859,   6.85700
   2.10326,   4.42371
   5.06263,  25.63021
   5.76898,  33.28110
   8.46174,  71.60098
   7.23444,  52.33707
   9.95047,  99.01176
   6.67272,  44.52523
   2.99402,   8.96416
   5.60668,  31.43481
   2.73901,   7.50216
   9.05676,  82.02492
   8.78540,  77.18333
   4.30526,  18.53526
   6.46794,  41.83429
   7.91829,  62.69927
   8.54044,  72.93913
   1.56965,   2.46381
   5.05565,  25.55956
   9.98943,  99.78872
   7.05304,  49.74537
   8.81320,  77.67255
   4.86805,  23.69796
   9.79635,  95.96851
   6.83904,  46.77246
   6.85913,  47.04773
   4.78102,  22.85819
   5.25744,  27.64068
   1.20990,   1.46387
   4.80833,  23.12000
   8.33616,  69.49164
   3.99041,  15.92339
   2.62156,   6.87258
   4.41358,  19.47969
   3.60248,  12.97785
   3.97014,  15.76200
   1.60848,   2.58722
   1.48759,   2.21292
