x1,y1
   0.87439,  78.61758
   0.22961,   9.62977
   0.11664,   4.38221
   0.27828,  12.51919
   0.60869,  42.14145
   0.23494,   9.92752
   0.00000,   1.10417
   0.28814,  13.15032
   0.47436,  27.99409
   0.84991,  74.78472
   0.15615,   5.98562
   0.23379,   9.86333
   0.66440,  48.85519
   0.92778,  87.30788
   0.90916,  84.22591
   0.89736,  82.30114
   0.30533,  14.28851
   0.06493,   2.66080
   0.35291,  17.68475
   0.70920,  54.61274
   0.12087,   4.54211
   0.67010,  49.57031
   0.83777,  72.91972
   0.61146,  42.46374
   0.79566,  66.63258
   0.88318,  80.01763
   0.03461,   1.85009
   0.73586,  58.19267
   0.89975,  82.68845
   0.01950,   1.50092
   0.11898,   4.47042
   0.38315,  20.03158
   0.23393,   9.87071
   0.31299,  14.81080
   0.76817,  62.68186
   0.34729,  17.26503
   0.83201,  72.04269
   0.84293,  73.71017
   0.34609,  17.17610
   0.47881,  28.41658
   0.37550,  19.42401
   0.25950,  11.35954
   0.87717,  79.05950
   0.94253,  89.78962
   0.85548,  75.64841
   0.16946,   6.58204
   0.88826,  80.83126
   0.95970,  92.72181
   0.49627,  30.10437
   0.28600,  13.01251
   0.05523,   2.38548
   0.29038,  13.29598
   0.60007,  41.14713
   0.84144,  73.48191
   0.95704,  92.26447
   0.81841,  69.99439
   0.12561,   4.72438
   0.77999,  64.36586
   0.20598,   8.36346
   0.62119,  43.60484
   0.27835,  12.52360
   0.97982,  96.21805
   0.17539,   6.85700
   0.11774,   4.42371
   0.44882,  25.63021
   0.52784,  33.28110
   0.82909,  71.60098
   0.69179,  52.33707
   0.99564,  99.01176
   0.62895,  44.52523
   0.21740,   8.96416
   0.50968,  31.43481
   0.18887,   7.50216
   0.89566,  82.02492
   0.86530,  77.18333
   0.36409,  18.53526
   0.60604,  41.83429
   0.76829,  62.69927
   0.83790,  72.93913
   0.05805,   2.46381
   0.44804,  25.55956
   1.00000,  99.78872
   0.67149,  49.74537
   0.86841,  77.67255
   0.42705,  23.69796
   0.97840,  95.96851
   0.64755,  46.77246
   0.64980,  47.04773
   0.41732,  22.85819
   0.47061,  27.64068
   0.01780,   1.46387
   0.42037,  23.12000
   0.81504,  69.49164
   0.32887,  15.92339
   0.17573,   6.87258
   0.37621,  19.47969
   0.28547,  12.97785
   0.32660,  15.76200
   0.06239,   2.58722
   0.04887,   2.21292
