x1,x2,x3,x4,y1
   6.30651,   2.23126,   6.95826,   9.88415,  -1.39282
   9.07714,   6.21059,   1.58401,   1.97679,  -7.29794
   5.02777,   4.04626,   3.90232,   9.15452,  -0.18688
   1.90746,   7.76275,   8.44665,   7.09478,  -4.33127
   3.22097,   3.23289,   8.90462,   1.16697,  -0.00154
   1.73856,   3.67839,   6.31248,   4.90637,  -1.37958
   4.99568,   1.93914,   3.27442,   4.30934,  -2.95341
   6.85848,   3.55084,   8.57808,   8.46750,  29.91114
   2.37209,   8.90587,   9.35566,   3.10921,  -1.04600
   5.00246,   2.86214,   1.24435,   3.24068,  -1.07213
   2.34451,   7.13318,   3.10661,   9.76648,   0.71904
   2.22335,   3.16826,   2.73970,   6.78791,   0.23341
   5.24229,   7.82321,   4.13976,   3.93780, -12.77945
   6.82259,   8.27551,   4.48808,   3.27680,  -1.19949
   7.63269,   4.87834,   7.23860,   6.56717,   4.10223
   5.13603,   7.27722,   4.02088,   7.07749,   0.70051
   5.08124,   4.14893,   4.38628,   2.37470,   0.46347
   6.51320,   9.52406,   4.54514,   6.48608,   1.55124
   8.76770,   5.08746,   3.74440,   3.92332, -20.56948
   2.28623,   7.41979,   1.48579,   6.77472,   0.97062
   2.22711,   7.31748,   6.10925,   1.88548,  -1.20517
   3.05700,   3.84798,   9.29849,   2.84250,  -0.12252
   9.00098,   1.11659,   7.61541,   8.28533, -11.76925
   8.17576,   2.86146,   9.08986,   4.13210,   1.07192
   8.92441,   1.57887,   5.61652,   5.31685,  24.51200
   9.56329,   1.87766,   3.57809,   5.98041,  -3.19925
   2.25662,   9.79721,   4.99630,   9.88063,   1.54383
   7.40694,   8.61773,   9.25423,   7.99807,  -0.96388
   5.45837,   9.14109,   3.69993,   9.61422,   0.62268
   6.85680,   4.58089,   4.81173,   5.45277,  -3.55030
   6.50527,   8.59022,   8.84630,   4.09449,  -0.43877
   6.25784,   4.44936,   9.26284,   5.76786,   0.51745
   2.47749,   1.69771,   7.49642,   2.64826,   0.16084
   8.98245,   9.89340,   8.40000,   4.53378,  -0.23562
   3.70305,   8.00515,   1.96028,   4.22438,   1.90013
   3.83851,   6.08103,   6.26864,   8.68336,   0.92869
