x1,x2,x3,x4,y1
   0.58950,   0.13647,   0.66204,   0.98721,  -1.39282
   0.89747,   0.57883,   0.06487,   0.10852,  -7.29794
   0.44735,   0.33823,   0.32247,   0.90613,  -0.18688
   0.10051,   0.75138,   0.82742,   0.67725,  -4.33127
   0.24652,   0.24781,   0.87831,   0.01853,  -0.00154
   0.08174,   0.29734,   0.59028,   0.43406,  -1.37958
   0.44379,   0.10399,   0.25270,   0.36772,  -2.95341
   0.65085,   0.28316,   0.84202,   0.82979,  29.91114
   0.15216,   0.87846,   0.92842,   0.23436,  -1.04600
   0.44454,   0.20660,   0.02713,   0.24897,  -1.07213
   0.14909,   0.68139,   0.23406,   0.97413,   0.71904
   0.13562,   0.24063,   0.19328,   0.64315,   0.23341
   0.47120,   0.75810,   0.34885,   0.32643, -12.77945
   0.64686,   0.80838,   0.38756,   0.25298,  -1.19949
   0.73691,   0.43073,   0.69319,   0.61862,   4.10223
   0.45939,   0.69741,   0.33565,   0.67532,   0.70051
   0.45330,   0.34965,   0.37625,   0.15274,   0.46347
   0.61247,   0.94718,   0.39390,   0.60961,   1.55124
   0.86307,   0.45398,   0.30492,   0.32482, -20.56948
   0.14261,   0.71325,   0.05396,   0.64168,   0.97062
   0.13604,   0.70188,   0.56770,   0.09837,  -1.20517
   0.22829,   0.31619,   0.92207,   0.20472,  -0.12252
   0.88900,   0.01255,   0.73506,   0.80954, -11.76925
   0.79728,   0.20652,   0.89889,   0.34802,   1.07192
   0.88049,   0.06394,   0.51295,   0.47968,  24.51200
   0.95151,   0.09716,   0.28644,   0.55341,  -3.19925
   0.13932,   0.97754,   0.44403,   0.98682,   1.54383
   0.71182,   0.84643,   0.91715,   0.77762,  -0.96388
   0.49522,   0.90461,   0.29998,   0.95721,   0.62268
   0.65066,   0.39767,   0.42352,   0.49478,  -3.55030
   0.61159,   0.84337,   0.87183,   0.34384,  -0.43877
   0.58409,   0.38304,   0.91811,   0.52979,   0.51745
   0.16387,   0.07715,   0.72183,   0.18313,   0.16084
   0.88694,   0.98824,   0.82224,   0.39266,  -0.23562
   0.30010,   0.77833,   0.10668,   0.35828,   1.90013
   0.31516,   0.56443,   0.58541,   0.85377,   0.92869
