x1,y1
   6.30651,   0.00286
   2.23126,   0.01961
   6.95826,   0.00237
   9.88415,   0.00120
   9.07714,   0.00142
   6.21059,   0.00294
   1.58401,   0.03572
   1.97679,   0.02430
   5.02777,   0.00440
   4.04626,   0.00661
   3.90232,   0.00708
   9.15452,   0.00140
   1.90746,   0.02588
   7.76275,   0.00192
   8.44665,   0.00163
   7.09478,   0.00228
   3.22097,   0.01009
   3.23289,   0.01002
   8.90462,   0.00147
   1.16697,   0.05978
   1.73856,   0.03042
   3.67839,   0.00790
   6.31248,   0.00285
   4.90637,   0.00461
   4.99568,   0.00445
   1.93914,   0.02514
   3.27442,   0.00979
   4.30934,   0.00588
   6.85848,   0.00244
   3.55084,   0.00843
   8.57808,   0.00158
   8.46750,   0.00162
   2.37209,   0.01758
   8.90587,   0.00147
   9.35566,   0.00134
   3.10921,   0.01077
   5.00246,   0.00444
   2.86214,   0.01252
   1.24435,   0.05374
   3.24068,   0.00998
   2.34451,   0.01795
   7.13318,   0.00226
   3.10661,   0.01078
   9.76648,   0.00123
   2.22335,   0.01974
   3.16826,   0.01040
   2.73970,   0.01356
   6.78791,   0.00248
   5.24229,   0.00406
   7.82321,   0.00189
   4.13976,   0.00634
   3.93780,   0.00696
   6.82259,   0.00246
   8.27551,   0.00170
   4.48808,   0.00545
   3.27680,   0.00978
   7.63269,   0.00198
   4.87834,   0.00466
   7.23860,   0.00220
   6.56717,   0.00265
   5.13603,   0.00422
   7.27722,   0.00217
   4.02088,   0.00669
   7.07749,   0.00229
   5.08124,   0.00431
   4.14893,   0.00631
   4.38628,   0.00569
   2.37470,   0.01755
   6.51320,   0.00269
   9.52406,   0.00129
   4.54514,   0.00532
   6.48608,   0.00271
   8.76770,   0.00152
   5.08746,   0.00430
   3.74440,   0.00764
   3.92332,   0.00700
   2.28623,   0.01878
   7.41979,   0.00209
   1.48579,   0.03986
   6.77472,   0.00249
   2.22711,   0.01968
   7.31748,   0.00215
   6.10925,   0.00304
   1.88548,   0.02641
   3.05700,   0.01111
   3.84798,   0.00726
   9.29849,   0.00135
   2.84250,   0.01268
   9.00098,   0.00144
   1.11659,   0.06428
   7.61541,   0.00199
   8.28533,   0.00169
   8.17576,   0.00174
   2.86146,   0.01253
   9.08986,   0.00142
   4.13210,   0.00636
   8.92441,   0.00147
   1.57887,   0.03592
   5.61652,   0.00357
   5.31685,   0.00396
   9.56329,   0.00128
   1.87766,   0.02660
   3.57809,   0.00831
   5.98041,   0.00316
   2.25662,   0.01922
   9.79721,   0.00122
   4.99630,   0.00445
   9.88063,   0.00120
   7.40694,   0.00210
   8.61773,   0.00157
   9.25423,   0.00137
   7.99807,   0.00181
   5.45837,   0.00376
   9.14109,   0.00140
   3.69993,   0.00781
   9.61422,   0.00127
   6.85680,   0.00244
   4.58089,   0.00524
   4.81173,   0.00478
   5.45277,   0.00377
   6.50527,   0.00269
   8.59022,   0.00158
   8.84630,   0.00149
   4.09449,   0.00647
   6.25784,   0.00290
   4.44936,   0.00554
   9.26284,   0.00136
   5.76786,   0.00339
   2.47749,   0.01626
   1.69771,   0.03170
   7.49642,   0.00205
   2.64826,   0.01442
   8.98245,   0.00145
   9.89340,   0.00120
   8.40000,   0.00165
   4.53378,   0.00534
   3.70305,   0.00780
   8.00515,   0.00181
   1.96028,   0.02467
   4.22438,   0.00610
   3.83851,   0.00730
   6.08103,   0.00307
   6.26864,   0.00289
   8.68336,   0.00155
   4.33904,   0.00580
   9.62774,   0.00127
   6.92550,   0.00239
   6.26020,   0.00290
   5.87357,   0.00327
   4.81574,   0.00477
   9.02836,   0.00143
   4.33900,   0.00580
   5.61913,   0.00356
   6.49740,   0.00270
   7.62528,   0.00199
   6.85080,   0.00244
   2.50034,   0.01600
   3.57646,   0.00832
   1.89716,   0.02612
   9.00992,   0.00144
   5.84134,   0.00331
   8.12235,   0.00176
   9.25089,   0.00137
   6.31580,   0.00285
   1.97051,   0.02444
   4.98858,   0.00446
   4.58226,   0.00524
   8.01305,   0.00181
   1.52582,   0.03809
   6.81051,   0.00247
   1.91348,   0.02573
   6.03388,   0.00311
   4.34445,   0.00579
   3.98855,   0.00679
   3.81844,   0.00737
   7.77958,   0.00191
   1.89737,   0.02612
   4.16058,   0.00628
   1.19526,   0.05745
   5.77974,   0.00338
   8.49844,   0.00161
   9.51624,   0.00130
   6.49932,   0.00270
   2.41766,   0.01699
   3.24681,   0.00994
   5.95485,   0.00319
   4.35808,   0.00576
   6.65075,   0.00258
   2.70692,   0.01386
   6.16579,   0.00299
   3.64121,   0.00805
   2.82345,   0.01284
   7.97856,   0.00182
   4.52692,   0.00536
   5.71456,   0.00345
   1.64597,   0.03344
   8.36439,   0.00166
   5.15004,   0.00420
   3.04602,   0.01118
   2.80283,   0.01301
   3.27925,   0.00976
   2.09929,   0.02186
   3.11568,   0.01073
   9.37749,   0.00133
   9.37490,   0.00133
   4.36701,   0.00573
   5.72556,   0.00344
   4.41451,   0.00562
   2.36047,   0.01774
   3.28968,   0.00971
   7.95832,   0.00183
   5.92660,   0.00322
   7.58370,   0.00201
   4.17699,   0.00623
   2.02409,   0.02331
   9.29836,   0.00135
   5.81254,   0.00334
   1.91148,   0.02578
   1.81521,   0.02822
   1.99772,   0.02386
   4.78057,   0.00484
   6.54799,   0.00266
   8.69964,   0.00154
   2.90167,   0.01222
   1.29225,   0.05045
   6.48171,   0.00271
   3.12318,   0.01068
   2.82412,   0.01283
   2.07242,   0.02236
   5.87496,   0.00327
   3.14732,   0.01053
   5.57053,   0.00362
   2.78724,   0.01314
   7.81159,   0.00190
   3.58067,   0.00830
   1.43493,   0.04229
   6.40569,   0.00278
   6.92516,   0.00239
   1.14414,   0.06175
   5.62363,   0.00356
   5.33793,   0.00393
   7.01673,   0.00233
   3.06356,   0.01106
   1.75562,   0.02991
   9.13036,   0.00140
   4.35696,   0.00576
   2.53562,   0.01560
   2.02121,   0.02337
   1.56921,   0.03630
   8.06351,   0.00178
   3.71935,   0.00774
   1.90216,   0.02600
   9.18988,   0.00139
   5.05972,   0.00435
   4.08030,   0.00651
   7.84949,   0.00188
   1.81499,   0.02823
   2.01891,   0.02342
   4.63104,   0.00514
   7.27871,   0.00217
   4.75452,   0.00489
   4.53724,   0.00534
   2.36099,   0.01773
   5.61777,   0.00356
   5.58512,   0.00360
   3.06546,   0.01105
   3.44275,   0.00893
   3.85937,   0.00722
   8.96158,   0.00145
   2.26796,   0.01905
   8.76849,   0.00152
   4.49885,   0.00542
   3.50745,   0.00862
   1.67680,   0.03239
   4.85481,   0.00470
   9.57578,   0.00128
   1.44497,   0.04179
   1.48376,   0.03995
   7.29308,   0.00216
   7.40237,   0.00210
   7.61898,   0.00199
   7.81948,   0.00189
   7.08925,   0.00229
   1.47867,   0.04018
   8.66749,   0.00155
   2.59309,   0.01498
   8.17177,   0.00174
   2.29798,   0.01861
   3.21195,   0.01014
   6.85734,   0.00244
   3.85823,   0.00723
   5.22777,   0.00409
   1.50730,   0.03889
   2.51369,   0.01584
   3.07743,   0.01097
   6.68150,   0.00256
   5.67690,   0.00349
   2.70083,   0.01392
   8.14836,   0.00175
   7.50129,   0.00205
   9.77246,   0.00123
   3.02308,   0.01133
   2.25488,   0.01925
   6.99195,   0.00235
   9.52430,   0.00129
   5.93728,   0.00321
   4.08463,   0.00650
   6.49798,   0.00270
   5.89969,   0.00325
   4.48224,   0.00546
   4.73277,   0.00493
   1.04698,   0.07141
   7.65884,   0.00197
   1.62638,   0.03414
   3.84623,   0.00727
   1.75144,   0.03003
   3.85949,   0.00722
   1.20596,   0.05661
   7.16517,   0.00224
