x1,y1
   0.58963,   0.00286
   0.13679,   0.01961
   0.66206,   0.00237
   0.98718,   0.00120
   0.89750,   0.00142
   0.57897,   0.00294
   0.06487,   0.03572
   0.10852,   0.02430
   0.44754,   0.00440
   0.33848,   0.00661
   0.32248,   0.00708
   0.90610,   0.00140
   0.10081,   0.02588
   0.75145,   0.00192
   0.82744,   0.00163
   0.67723,   0.00228
   0.24677,   0.01009
   0.24809,   0.01002
   0.87833,   0.00147
   0.01853,   0.05978
   0.08204,   0.03042
   0.29760,   0.00790
   0.59030,   0.00285
   0.43405,   0.00461
   0.44397,   0.00445
   0.10433,   0.02514
   0.25271,   0.00979
   0.36771,   0.00588
   0.65097,   0.00244
   0.28342,   0.00843
   0.84205,   0.00158
   0.82976,   0.00162
   0.15244,   0.01758
   0.87847,   0.00147
   0.92845,   0.00134
   0.23435,   0.01077
   0.44473,   0.00444
   0.20690,   0.01252
   0.02713,   0.05374
   0.24896,   0.00998
   0.14938,   0.01795
   0.68149,   0.00226
   0.23406,   0.01078
   0.97410,   0.00123
   0.13591,   0.01974
   0.24091,   0.01040
   0.19329,   0.01356
   0.64313,   0.00248
   0.47138,   0.00406
   0.75817,   0.00189
   0.34887,   0.00634
   0.32642,   0.00696
   0.64698,   0.00246
   0.80843,   0.00170
   0.38757,   0.00545
   0.25297,   0.00978
   0.73700,   0.00198
   0.43094,   0.00466
   0.69321,   0.00220
   0.61860,   0.00265
   0.45957,   0.00422
   0.69750,   0.00217
   0.33566,   0.00669
   0.67530,   0.00229
   0.45348,   0.00431
   0.34988,   0.00631
   0.37626,   0.00569
   0.15273,   0.01755
   0.61260,   0.00269
   0.94717,   0.00129
   0.39391,   0.00532
   0.60959,   0.00271
   0.86312,   0.00152
   0.45417,   0.00430
   0.30493,   0.00764
   0.32481,   0.00700
   0.14290,   0.01878
   0.71334,   0.00209
   0.05396,   0.03986
   0.64166,   0.00249
   0.13633,   0.01968
   0.70197,   0.00215
   0.56771,   0.00304
   0.09837,   0.02641
   0.22855,   0.01111
   0.31644,   0.00726
   0.92210,   0.00135
   0.20471,   0.01268
   0.88904,   0.00144
   0.01293,   0.06428
   0.73508,   0.00199
   0.80952,   0.00169
   0.79734,   0.00174
   0.20682,   0.01253
   0.89892,   0.00142
   0.34801,   0.00636
   0.88053,   0.00147
   0.06430,   0.03592
   0.51296,   0.00357
   0.47966,   0.00396
   0.95153,   0.00128
   0.09750,   0.02660
   0.28645,   0.00831
   0.55340,   0.00316
   0.13961,   0.01922
   0.97752,   0.00122
   0.44404,   0.00445
   0.98679,   0.00120
   0.71191,   0.00210
   0.84645,   0.00157
   0.91718,   0.00137
   0.77760,   0.00181
   0.49539,   0.00376
   0.90461,   0.00140
   0.29999,   0.00781
   0.95718,   0.00127
   0.65078,   0.00244
   0.39788,   0.00524
   0.42353,   0.00478
   0.49477,   0.00377
   0.61172,   0.00269
   0.84340,   0.00158
   0.87185,   0.00149
   0.34383,   0.00647
   0.58422,   0.00290
   0.38327,   0.00554
   0.91814,   0.00136
   0.52978,   0.00339
   0.16415,   0.01626
   0.07751,   0.03170
   0.72185,   0.00205
   0.18313,   0.01442
   0.88698,   0.00145
   0.98821,   0.00120
   0.82226,   0.00165
   0.39265,   0.00534
   0.30034,   0.00780
   0.77838,   0.00181
   0.10668,   0.02467
   0.35827,   0.00610
   0.31539,   0.00730
   0.56458,   0.00307
   0.58542,   0.00289
   0.85375,   0.00155
   0.37101,   0.00580
   0.95869,   0.00127
   0.65841,   0.00239
   0.58449,   0.00290
   0.54153,   0.00327
   0.42398,   0.00477
   0.89208,   0.00143
   0.37100,   0.00580
   0.51325,   0.00356
   0.61084,   0.00270
   0.73617,   0.00199
   0.65011,   0.00244
   0.16669,   0.01600
   0.28627,   0.00832
   0.09967,   0.02612
   0.89003,   0.00144
   0.53794,   0.00331
