x1,y1
   8.86666,   0.00149
   3.10319,   0.01080
   2.09337,   0.02197
   3.53825,   0.00849
   6.49164,   0.00271
   3.15080,   0.01051
   1.05080,   0.07099
   3.62634,   0.00811
   5.29094,   0.00399
   8.64782,   0.00156
   2.44655,   0.01663
   3.14059,   0.01057
   6.98965,   0.00235
   9.34387,   0.00134
   9.17747,   0.00139
   9.07200,   0.00142
   3.78001,   0.00751
   1.63120,   0.03396
   4.20532,   0.00615
   7.39004,   0.00211
   2.13122,   0.02128
   7.04062,   0.00232
   8.53930,   0.00160
   6.51642,   0.00269
   8.16288,   0.00174
   8.94526,   0.00146
   1.36018,   0.04629
   7.62841,   0.00199
   9.09332,   0.00141
   1.22512,   0.05515
   2.11434,   0.02158
   4.47567,   0.00548
   3.14177,   0.01056
   3.84848,   0.00726
   7.91719,   0.00185
   4.15512,   0.00629
   8.48780,   0.00162
   8.58546,   0.00158
   4.14441,   0.00632
   5.33072,   0.00394
   4.40727,   0.00564
   3.37039,   0.00928
   8.89154,   0.00148
   9.47574,   0.00131
   8.69761,   0.00154
   2.56555,   0.01527
   8.99062,   0.00145
   9.62922,   0.00127
   5.48675,   0.00373
   3.60729,   0.00819
   1.54450,   0.03730
   3.64636,   0.00803
   6.41460,   0.00277
   8.57216,   0.00159
   9.60544,   0.00127
   8.36627,   0.00166
   2.17356,   0.02055
   8.02283,   0.00180
   2.89196,   0.01229
   6.60340,   0.00262
   3.53887,   0.00848
   9.80908,   0.00122
   2.61859,   0.01472
   2.10326,   0.02178
   5.06263,   0.00434
   5.76898,   0.00339
   8.46174,   0.00163
   7.23444,   0.00220
   9.95047,   0.00119
   6.67272,   0.00257
   2.99402,   0.01154
   5.60668,   0.00358
   2.73901,   0.01357
   9.05676,   0.00143
   8.78540,   0.00151
   4.30526,   0.00589
   6.46794,   0.00272
   7.91829,   0.00185
   8.54044,   0.00160
   1.56965,   0.03629
   5.05565,   0.00435
   9.98943,   0.00118
   7.05304,   0.00231
   8.81320,   0.00150
   4.86805,   0.00467
   9.79635,   0.00122
   6.83904,   0.00245
   6.85913,   0.00244
   4.78102,   0.00484
   5.25744,   0.00404
   1.20990,   0.05630
   4.80833,   0.00478
   8.33616,   0.00167
   3.99041,   0.00679
   2.62156,   0.01469
   4.41358,   0.00562
   3.60248,   0.00821
   3.97014,   0.00685
   1.60848,   0.03479
   1.48759,   0.03978
