x1,y1
   0.87439,   0.00149
   0.22961,   0.01080
   0.11664,   0.02197
   0.27828,   0.00849
   0.60869,   0.00271
   0.23494,   0.01051
   0.00000,   0.07099
   0.28814,   0.00811
   0.47436,   0.00399
   0.84991,   0.00156
   0.15615,   0.01663
   0.23379,   0.01057
   0.66440,   0.00235
   0.92778,   0.00134
   0.90916,   0.00139
   0.89736,   0.00142
   0.30533,   0.00751
   0.06493,   0.03396
   0.35291,   0.00615
   0.70920,   0.00211
   0.12087,   0.02128
   0.67010,   0.00232
   0.83777,   0.00160
   0.61146,   0.00269
   0.79566,   0.00174
   0.88318,   0.00146
   0.03461,   0.04629
   0.73586,   0.00199
   0.89975,   0.00141
   0.01950,   0.05515
   0.11898,   0.02158
   0.38315,   0.00548
   0.23393,   0.01056
   0.31299,   0.00726
   0.76817,   0.00185
   0.34729,   0.00629
   0.83201,   0.00162
   0.84293,   0.00158
   0.34609,   0.00632
   0.47881,   0.00394
   0.37550,   0.00564
   0.25950,   0.00928
   0.87717,   0.00148
   0.94253,   0.00131
   0.85548,   0.00154
   0.16946,   0.01527
   0.88826,   0.00145
   0.95970,   0.00127
   0.49627,   0.00373
   0.28600,   0.00819
   0.05523,   0.03730
   0.29038,   0.00803
   0.60007,   0.00277
   0.84144,   0.00159
   0.95704,   0.00127
   0.81841,   0.00166
   0.12561,   0.02055
   0.77999,   0.00180
   0.20598,   0.01229
   0.62119,   0.00262
   0.27835,   0.00848
   0.97982,   0.00122
   0.17539,   0.01472
   0.11774,   0.02178
   0.44882,   0.00434
   0.52784,   0.00339
   0.82909,   0.00163
   0.69179,   0.00220
   0.99564,   0.00119
   0.62895,   0.00257
   0.21740,   0.01154
   0.50968,   0.00358
   0.18887,   0.01357
   0.89566,   0.00143
   0.86530,   0.00151
   0.36409,   0.00589
   0.60604,   0.00272
   0.76829,   0.00185
   0.83790,   0.00160
   0.05805,   0.03629
   0.44804,   0.00435
   1.00000,   0.00118
   0.67149,   0.00231
   0.86841,   0.00150
   0.42705,   0.00467
   0.97840,   0.00122
   0.64755,   0.00245
   0.64980,   0.00244
   0.41732,   0.00484
   0.47061,   0.00404
   0.01780,   0.05630
   0.42037,   0.00478
   0.81504,   0.00167
   0.32887,   0.00679
   0.17573,   0.01469
   0.37621,   0.00562
   0.28547,   0.00821
   0.32660,   0.00685
   0.06239,   0.03479
   0.04887,   0.03978
