x1,x2,y1
   0.58961,   0.14544,   4.05403
   0.66203,   0.98726,   0.67057
   0.89746,   0.58317,   1.53895
   0.06489,   0.11745,   0.55250
   0.44753,   0.34509,   1.29686
   0.32248,   0.90700,   0.35555
   0.10083,   0.75390,   0.13374
   0.82741,   0.68043,   1.21601
   0.24677,   0.25562,   0.96540
   0.87829,   0.02837,  30.96241
   0.08206,   0.30462,   0.26939
   0.59028,   0.43970,   1.34245
   0.44396,   0.11331,   3.91831
   0.25271,   0.37403,   0.67565
   0.65094,   0.29059,   2.24005
   0.84201,   0.83143,   1.01273
   0.15245,   0.87965,   0.17331
   0.92841,   0.24201,   3.83618
   0.44472,   0.21484,   2.07004
   0.02715,   0.25647,   0.10586
   0.14939,   0.68465,   0.21820
   0.23407,   0.97431,   0.24024
   0.13593,   0.24851,   0.54697
   0.19330,   0.64667,   0.29892
   0.47137,   0.76055,   0.61977
   0.34886,   0.33316,   1.04714
   0.64695,   0.81031,   0.79841
   0.38756,   0.26045,   1.48807
   0.73697,   0.43662,   1.68790
   0.69318,   0.62239,   1.11374
   0.45956,   0.70049,   0.65605
   0.33565,   0.67852,   0.49468
   0.45347,   0.35638,   1.27243
   0.37625,   0.16122,   2.33382
   0.61258,   0.94765,   0.64642
   0.39390,   0.61347,   0.64209
   0.86308,   0.45962,   1.87781
   0.30493,   0.33156,   0.91968
   0.14291,   0.71618,   0.19955
   0.05398,   0.64522,   0.08366
   0.13635,   0.70492,   0.19342
   0.56769,   0.10740,   5.28568
   0.22856,   0.32328,   0.70699
   0.92205,   0.21267,   4.33551
   0.88900,   0.02283,  38.94802
   0.73505,   0.81139,   0.90591
   0.79731,   0.21476,   3.71254
   0.89887,   0.35453,   2.53539
   0.88049,   0.07368,  11.95092
   0.51295,   0.48485,   1.05794
   0.95148,   0.10654,   8.93050
   0.28645,   0.55785,   0.51350
   0.13962,   0.97769,   0.14281
   0.44403,   0.98687,   0.44994
   0.71188,   0.84795,   0.83953
   0.91714,   0.77979,   1.17614
   0.49537,   0.90552,   0.54706
   0.29999,   0.95756,   0.31329
   0.65076,   0.40390,   1.61119
   0.42353,   0.49981,   0.84738
   0.61170,   0.84492,   0.72397
   0.87181,   0.35039,   2.48809
   0.58420,   0.38943,   1.50015
   0.91809,   0.53446,   1.71778
   0.16417,   0.08675,   1.89245
   0.72182,   0.19131,   3.77310
   0.88694,   0.98827,   0.89746
   0.82222,   0.39872,   2.06217
   0.30034,   0.78057,   0.38477
   0.10670,   0.36468,   0.29258
   0.31539,   0.56891,   0.55437
   0.58540,   0.85517,   0.68455
   0.37100,   0.95905,   0.38685
   0.65839,   0.58862,   1.11853
   0.54151,   0.42973,   1.26011
   0.89204,   0.37729,   2.36434
   0.51324,   0.61471,   0.83492
   0.73614,   0.65359,   1.12631
   0.16670,   0.29341,   0.56816
   0.09968,   0.89109,   0.11187
   0.53793,   0.79346,   0.67795
   0.91677,   0.59474,   1.54146
   0.10783,   0.44874,   0.24030
   0.39803,   0.78144,   0.50936
   0.05842,   0.64916,   0.09000
   0.10150,   0.56373,   0.18005
   0.37161,   0.33874,   1.09702
   0.31316,   0.75575,   0.41437
   0.09971,   0.35766,   0.27877
