x1,x2,y1
   0.58962,   0.13662,   4.05403
   0.66204,   0.98721,   0.67057
   0.89748,   0.57891,   1.53895
   0.06487,   0.10834,   0.55250
   0.44753,   0.33835,   1.29686
   0.32247,   0.90612,   0.35555
   0.10081,   0.75143,   0.13374
   0.82742,   0.67718,   1.21601
   0.24676,   0.24795,   0.96540
   0.87831,   0.01833,  30.96241
   0.08204,   0.29747,   0.26939
   0.59028,   0.43395,   1.34245
   0.44396,   0.10416,   3.91831
   0.25270,   0.36759,   0.67565
   0.65095,   0.28329,   2.24005
   0.84202,   0.82976,   1.01273
   0.15244,   0.87848,   0.17331
   0.92842,   0.23420,   3.83618
   0.44471,   0.20674,   2.07004
   0.02713,   0.24882,   0.10586
   0.14937,   0.68145,   0.21820
   0.23406,   0.97413,   0.24024
   0.13591,   0.24077,   0.54697
   0.19328,   0.64308,   0.29892
   0.47136,   0.75815,   0.61977
   0.34885,   0.32630,   1.04714
   0.64696,   0.80842,   0.79841
   0.38756,   0.25283,   1.48807
   0.73698,   0.43083,   1.68790
   0.69319,   0.61854,   1.11374
   0.45956,   0.69746,   0.65605
   0.33565,   0.67526,   0.49468
   0.45347,   0.34976,   1.27243
   0.37625,   0.15257,   2.33382
   0.61258,   0.94719,   0.64642
   0.39390,   0.60953,   0.64209
   0.86309,   0.45408,   1.87781
   0.30492,   0.32469,   0.91968
   0.14290,   0.71331,   0.19955
   0.05396,   0.64161,   0.08366
   0.13633,   0.70194,   0.19342
   0.56770,   0.09819,   5.28568
   0.22854,   0.31632,   0.70699
   0.92207,   0.20456,   4.33551
   0.88901,   0.01273,  38.94802
   0.73506,   0.80951,   0.90591
   0.79732,   0.20667,   3.71254
   0.89889,   0.34789,   2.53539
   0.88051,   0.06411,  11.95092
   0.51295,   0.47957,   1.05794
   0.95150,   0.09732,   8.93050
   0.28644,   0.55333,   0.51350
   0.13961,   0.97755,   0.14281
   0.44403,   0.98682,   0.44994
   0.71189,   0.84645,   0.83953
   0.91715,   0.77758,   1.17614
   0.49537,   0.90462,   0.54706
