x1,x2,y1
   0.14801,   0.86790,   0.17054
   0.74665,   0.91144,   0.81920
   0.82523,   0.88140,   0.93628
   0.39407,   0.56167,   0.70160
   0.14747,   0.47559,   0.31008
   0.81813,   0.06387,  12.80840
   0.83377,   0.02774,  30.05471
   0.27429,   0.42923,   0.63902
   0.64021,   0.12990,   4.92852
   0.44966,   0.78981,   0.56933
   0.59667,   0.43559,   1.36979
   0.10456,   0.77669,   0.13462
   0.75753,   0.58524,   1.29439
   0.40918,   0.71353,   0.57346
   0.38211,   0.25228,   1.51462
   0.05480,   0.59334,   0.09236
   0.41578,   0.70210,   0.59220
   0.64840,   0.35196,   1.84223
   0.74216,   0.23468,   3.16241
   0.93127,   0.89770,   1.03740
   0.83037,   0.04706,  17.64620
   0.63641,   0.97869,   0.65027
   0.40909,   0.38728,   1.05631
   0.82187,   0.40153,   2.04686
   0.18380,   0.39995,   0.45955
   0.09008,   0.28912,   0.31155
   0.64958,   0.67248,   0.96596
   0.91772,   0.95199,   0.96400
   0.45165,   0.42535,   1.06184
   0.78969,   0.33380,   2.36577
   0.84151,   0.15718,   5.35375
   0.49404,   0.87436,   0.56504
   0.91390,   0.41876,   2.18240
   0.42757,   0.57730,   0.74064
   0.30269,   0.48216,   0.62777
   0.13309,   0.27082,   0.49145
   0.51538,   0.87449,   0.58935
   0.04373,   0.56780,   0.07702
   0.01463,   0.66749,   0.02192
   0.39875,   0.49593,   0.80404
   0.33667,   0.54314,   0.61986
   0.66765,   0.18460,   3.61680
   0.79781,   0.71072,   1.12253
   0.90324,   0.44233,   2.04203
   0.70322,   0.72520,   0.96969
   0.01238,   0.54879,   0.02256
   0.85117,   0.19145,   4.44585
   0.10352,   0.50829,   0.20367
   0.99827,   0.90540,   1.10257
   0.21706,   0.07983,   2.71897
   0.52750,   0.29697,   1.77628
   0.68415,   0.31114,   2.19881
   0.93536,   0.43730,   2.13894
   0.42834,   0.27213,   1.57405
   0.52318,   0.95835,   0.54592
   0.47923,   0.47125,   1.01694
   0.23920,   0.04349,   5.50021
   0.74726,   0.04963,  15.05664
   0.05922,   0.88981,   0.06656
   0.68516,   0.26622,   2.57371
   0.19539,   0.43647,   0.44766
   0.75114,   0.65529,   1.14627
   0.26084,   0.34070,   0.76560
   0.84756,   0.04393,  19.29482
   0.83008,   0.80870,   1.02645
   0.57277,   0.28898,   1.98203
   0.80672,   0.20520,   3.93138
   0.88497,   0.14552,   6.08126
   0.21713,   0.61470,   0.35323
   0.03177,   0.72035,   0.04410
   0.90809,   0.43809,   2.07283
   0.66907,   0.65746,   1.01767
   0.27474,   0.22458,   1.22332
   0.79969,   0.70782,   1.12980
   0.30695,   0.86201,   0.35609
   0.23311,   0.21421,   1.08825
   0.60968,   0.98877,   0.61661
   0.55907,   0.36150,   1.54651
   0.40453,   0.94104,   0.42987
   0.32766,   0.79331,   0.41303
   0.80181,   0.86817,   0.92357
   0.14288,   0.27112,   0.52699
   0.06734,   0.61855,   0.10886
   0.52512,   0.23328,   2.25101
   0.02358,   0.90322,   0.02611
   0.67752,   0.16301,   4.15626
   0.32449,   0.28509,   1.13822
   0.47752,   0.43258,   1.10390
   0.74546,   0.56810,   1.31220
   0.95547,   0.67240,   1.42099
   0.77156,   0.13860,   5.56680
   0.09580,   0.35194,   0.27221
   0.52758,   0.09146,   5.76871
   0.89309,   0.86977,   1.02681
   0.69659,   0.58173,   1.19744
   0.28733,   0.32904,   0.87323
   0.09402,   0.59226,   0.15875
   0.12029,   0.74499,   0.16146
   0.15052,   0.07953,   1.89256
   0.96646,   0.50737,   1.90484
