x1,x2,y1
   0.13757,   0.87424,   0.17054
   0.74478,   0.91953,   0.81920
   0.82449,   0.88828,   0.93628
   0.38715,   0.55558,   0.70160
   0.13703,   0.46601,   0.31008
   0.81728,   0.03760,  12.80840
   0.83315,   0.00000,  30.05471
   0.26566,   0.41777,   0.63902
   0.63682,   0.10630,   4.92852
   0.44354,   0.79297,   0.56933
   0.59265,   0.42439,   1.36979
   0.09350,   0.77933,   0.13462
   0.75582,   0.58011,   1.29439
   0.40248,   0.71360,   0.57346
   0.37502,   0.23365,   1.51462
   0.04303,   0.58854,   0.09236
   0.40918,   0.70170,   0.59220
   0.64512,   0.33737,   1.84223
   0.74023,   0.21533,   3.16241
   0.93205,   0.90524,   1.03740
   0.82970,   0.02010,  17.64620
   0.63296,   0.98951,   0.65027
   0.40239,   0.37412,   1.05631
   0.82108,   0.38895,   2.04686
   0.17387,   0.38731,   0.45955
   0.07881,   0.27198,   0.31155
   0.64633,   0.67088,   0.96596
   0.91830,   0.96174,   0.96400
   0.44556,   0.41373,   1.06184
   0.78843,   0.31847,   2.36577
   0.84100,   0.13469,   5.35375
   0.48856,   0.88095,   0.56504
   0.91442,   0.40687,   2.18240
   0.42113,   0.57184,   0.74064
   0.29446,   0.47285,   0.62777
   0.12244,   0.25293,   0.49145
   0.51020,   0.88109,   0.58935
   0.03180,   0.56196,   0.07702
   0.00228,   0.66570,   0.02192
   0.39190,   0.48718,   0.80404
   0.32893,   0.53630,   0.61986
   0.66465,   0.16322,   3.61680
   0.79667,   0.71068,   1.12253
   0.90362,   0.43140,   2.04203
   0.70073,   0.72574,   0.96969
   0.00000,   0.54218,   0.02256
   0.85080,   0.17035,   4.44585
   0.09245,   0.50004,   0.20367
   1.00000,   0.91326,   1.10257
   0.20761,   0.05420,   2.71897
   0.52249,   0.28015,   1.77628
   0.68138,   0.29490,   2.19881
   0.93619,   0.42617,   2.13894
   0.42192,   0.25430,   1.57405
   0.51812,   0.96835,   0.54592
   0.47354,   0.46149,   1.01694
   0.23007,   0.01639,   5.50021
   0.74540,   0.02278,  15.05664
   0.04751,   0.89703,   0.06656
   0.68241,   0.24815,   2.57371
   0.18563,   0.42530,   0.44766
   0.74933,   0.65300,   1.14627
   0.25202,   0.32565,   0.76560
   0.84714,   0.01684,  19.29482
   0.82941,   0.81263,   1.02645
   0.56842,   0.27184,   1.98203
   0.80571,   0.18466,   3.93138
   0.88509,   0.12256,   6.08126
   0.20768,   0.61076,   0.35323
   0.01966,   0.72070,   0.04410
   0.90853,   0.42699,   2.07283
   0.66609,   0.65525,   1.01767
   0.26611,   0.20483,   1.22332
   0.79858,   0.70766,   1.12980
   0.29879,   0.86810,   0.35609
   0.22389,   0.19403,   1.08825
   0.60585,   1.00000,   0.61661
   0.55451,   0.34730,   1.54651
   0.39776,   0.95034,   0.42987
   0.31979,   0.79661,   0.41303
   0.80074,   0.87452,   0.92357
   0.13236,   0.25325,   0.52699
   0.05574,   0.61477,   0.10886
   0.52008,   0.21388,   2.25101
   0.01136,   0.91098,   0.02611
   0.67466,   0.14076,   4.15626
   0.31658,   0.26778,   1.13822
   0.47180,   0.42126,   1.10390
   0.74358,   0.56227,   1.31220
   0.95659,   0.67080,   1.42099
   0.77005,   0.11535,   5.56680
   0.08461,   0.33734,   0.27221
   0.52257,   0.06630,   5.76871
   0.89332,   0.87618,   1.02681
   0.69401,   0.57646,   1.19744
   0.27889,   0.31352,   0.87323
   0.08281,   0.58741,   0.15875
   0.10945,   0.74633,   0.16146
   0.14011,   0.05389,   1.89256
   0.96774,   0.49908,   1.90484
