x1,y1
  59.37163,   7.70530
  14.54385,   3.81364
  66.54086,   8.15726
  98.72570,   9.93608
  89.84853,   9.47885
  58.31652,   7.63653
   7.42406,   2.72471
  11.74473,   3.42706
  45.30546,   6.73093
  34.50884,   5.87442
  32.92556,   5.73808
  90.69978,   9.52364
  10.98203,   3.31391
  75.39025,   8.68276
  82.91313,   9.10566
  68.04262,   8.24880
  25.43062,   5.04288
  25.56178,   5.05587
  87.95083,   9.37821
   2.83664,   1.68423
   9.12412,   3.02062
  30.46227,   5.51926
  59.43724,   7.70956
  43.97007,   6.63099
  44.95253,   6.70466
  11.33052,   3.36608
  26.01859,   5.10084
  37.40274,   6.11578
  65.44327,   8.08970
  29.05922,   5.39066
  84.35894,   9.18471
  83.14253,   9.11825
  16.09297,   4.01160
  87.96460,   9.37894
  92.91223,   9.63910
  24.20130,   4.91948
  45.02710,   6.71022
  21.48359,   4.63504
   3.68785,   1.92038
  25.64746,   5.06433
  15.78957,   3.97361
  68.46502,   8.27436
  24.17276,   4.91658
  97.43127,   9.87073
  14.45689,   3.80222
  24.85090,   4.98507
  20.13668,   4.48739
  64.66702,   8.04158
  47.66520,   6.90400
  76.05535,   8.72097
  35.53738,   5.96132
  33.31583,   5.77199
  65.04850,   8.06526
  81.03056,   9.00170
  39.36884,   6.27446
  26.04483,   5.10341
  73.95960,   8.59998
  43.66172,   6.60770
  69.62463,   8.34414
  62.23891,   7.88916
  46.49637,   6.81882
  70.04940,   8.36955
  34.22973,   5.85062
  67.85242,   8.23726
  45.89360,   6.77448
  35.63819,   5.96977
  38.24906,   6.18458
  16.12175,   4.01519
  61.64524,   7.85145
  94.76462,   9.73471
  39.99658,   6.32428
  61.34686,   7.83242
  86.44476,   9.29757
  45.96202,   6.77953
  31.18837,   5.58465
  33.15646,   5.75816
  15.14854,   3.89211
  71.61768,   8.46272
   6.34373,   2.51868
  64.52197,   8.03256
  14.49825,   3.80766
  70.49224,   8.39597
  57.20177,   7.56319
  10.74023,   3.27723
  23.62700,   4.86076
  32.32782,   5.68576
  92.28334,   9.60642
  21.26749,   4.61167
  89.01076,   9.43455
   2.28252,   1.51080
  73.76954,   8.58892
  81.13860,   9.00770
  79.93337,   8.94055
  21.47604,   4.63422
  89.98844,   9.48622
  35.45311,   5.95425
  88.16853,   9.38981
   7.36755,   2.71432
  51.78172,   7.19595
  48.48534,   6.96314
  95.19623,   9.75686
  10.65425,   3.26408
  29.35899,   5.41839
  55.78453,   7.46890
  14.82285,   3.85005
  97.76933,   9.88784
  44.95929,   6.70517
  98.68690,   9.93413
  71.47636,   8.45437
  84.79501,   9.20842
  91.79657,   9.58105
  77.97881,   8.83056
  50.04206,   7.07404
  90.55199,   9.51588
  30.69918,   5.54068
  95.75643,   9.78552
  65.42477,   8.08856
  40.38979,   6.35530
  42.92899,   6.55202
  49.98051,   7.06969
  61.55794,   7.84589
  84.49246,   9.19198
  87.30929,   9.34394
  35.03939,   5.91941
  58.83625,   7.67048
  38.94299,   6.24043
  91.89119,   9.58599
  53.44641,   7.31071
  17.25243,   4.15360
   8.67479,   2.94530
  72.46058,   8.51238
  19.13082,   4.37388
  88.80697,   9.42375
  98.82744,   9.94120
  82.39999,   9.07744
  39.87164,   6.31440
  30.73352,   5.54378
  78.05659,   8.83496
  11.56306,   3.40045
  36.46820,   6.03889
  32.22365,   5.67659
  56.89136,   7.54264
  58.95499,   7.67822
  85.51691,   9.24754
  37.72948,   6.14243
  95.90517,   9.79312
  66.18048,   8.13514
  58.86221,   7.67217
  54.60929,   7.38981
  42.97315,   6.55539
  89.31193,   9.45050
  37.72898,   6.14239
  51.81047,   7.19795
  61.47143,   7.84037
  73.87803,   8.59523
  65.35876,   8.08448
  17.50374,   4.18375
  29.34103,   5.41674
  10.86874,   3.29678
  89.10907,   9.43976
  54.25469,   7.36578
  79.34590,   8.90763
  91.75976,   9.57913
  59.47382,   7.71193
  11.67561,   3.41696
  44.87443,   6.69884
  40.40483,   6.35648
  78.14350,   8.83988
   6.78407,   2.60462
  64.91565,   8.05702
  11.04829,   3.32390
  56.37271,   7.50818
  37.78894,   6.14727
  33.87406,   5.82014
  32.00287,   5.65711
  75.57533,   8.69341
  10.87103,   3.29713
  35.76643,   5.98050
   3.14784,   1.77422
  53.57710,   7.31964
  83.48284,   9.13689
  94.67863,   9.73029
  61.49250,   7.84172
  16.59430,   4.07361
  25.71496,   5.07099
  55.50336,   7.45006
  37.93886,   6.15945
  63.15820,   7.94721
  19.77613,   4.44704
  57.82364,   7.60419
  30.05331,   5.48209
  21.05791,   4.58889
  77.76418,   8.81840
  39.79607,   6.30841
  52.86016,   7.27050
   8.10568,   2.84705
  82.00830,   9.05584
  46.65046,   6.83011
  23.50617,   4.84832
  20.83109,   4.56411
  26.07178,   5.10605
  13.09221,   3.61832
  24.27247,   4.92671
  93.15239,   9.65155
  93.12392,   9.65007
  38.03715,   6.16743
  52.98119,   7.27882
  38.55960,   6.20964
  15.96513,   3.99564
  26.18649,   5.11727
  77.54154,   8.80577
  55.19259,   7.42917
  73.42075,   8.56859
  35.94688,   5.99557
  12.26497,   3.50214
  92.28191,   9.60635
  53.93796,   7.34425
  11.02632,   3.32059
   9.96727,   3.15710
  11.97487,   3.46047
  42.58629,   6.52582
  62.02790,   7.87578
  85.69599,   9.25721
  21.91841,   4.68171
   4.21473,   2.05298
  61.29881,   7.82936
  24.35502,   4.93508
  21.06534,   4.58970
  12.79663,   3.57724
  54.62461,   7.39085
  24.62054,   4.96191
  51.27582,   7.16071
  20.65966,   4.54529
  75.92747,   8.71364
  29.38737,   5.42101
   5.78419,   2.40504
  60.46255,   7.77577
  66.17673,   8.13491
   2.58551,   1.60795
  51.85993,   7.20138
  48.71721,   6.97977
  67.18403,   8.19659
  23.69916,   4.86818
   9.31180,   3.05152
  90.43395,   9.50968
  37.92651,   6.15845
  17.89186,   4.22988
  12.23332,   3.49762
   7.26135,   2.69469
  78.69855,   8.87122
  30.91290,   5.55994
  10.92375,   3.30511
  91.08868,   9.54404
  45.65691,   6.75699
  34.88329,   5.90621
  76.34441,   8.73753
   9.96491,   3.15672
  12.20804,   3.49400
  40.94141,   6.39855
  70.06578,   8.37053
  42.29975,   6.50383
  39.90966,   6.31741
  15.97090,   3.99636
  51.79548,   7.19691
  51.43628,   7.17191
  23.72008,   4.87033
  27.87025,   5.27923
  32.45302,   5.69676
  88.57736,   9.41155
  14.94752,   3.86620
  86.45345,   9.29803
  39.48735,   6.28390
  28.58197,   5.34621
   8.44485,   2.90600
  43.40292,   6.58809
  95.33361,   9.76389
   5.89463,   2.42789
   6.32131,   2.51422
  70.22388,   8.37997
  71.42609,   8.45140
  73.80878,   8.59120
  76.01433,   8.71862
  67.98178,   8.24511
   6.26532,   2.50306
  85.34239,   9.23809
  18.52399,   4.30395
  79.88950,   8.93809
  15.27780,   3.90868
  25.33141,   5.03303
  65.43078,   8.08893
  32.44053,   5.69566
  47.50551,   6.89242
   6.58032,   2.56521
  17.65054,   4.20125
  23.85176,   4.88383
  63.49646,   7.96847
  52.44591,   7.24195
  19.70916,   4.43950
  79.63200,   8.92368
  72.51422,   8.51553
  97.49709,   9.87406
  23.25383,   4.82222
  14.80373,   3.84756
  66.91147,   8.17994
  94.76731,   9.73485
  55.31008,   7.43707
  34.93093,   5.91024
  61.47778,   7.84078
  54.89659,   7.40922
  39.30467,   6.26934
  42.06047,   6.48540
   1.51679,   1.23158
  74.24725,   8.61668
   7.89015,   2.80894
  32.30856,   5.68406
   9.26587,   3.04399
  32.45443,   5.69688
   3.26552,   1.80707
  68.81690,   8.29560
  81.81457,   9.04514
  87.85761,   9.37324
  72.97733,   8.54268
  78.44301,   8.85681
  56.97793,   7.54837
  19.77139,   4.44650
  57.88182,   7.60801
  59.80057,   7.73308
  91.20097,   9.54992
  88.74007,   9.42019
  64.26334,   8.01644
  22.92805,   4.78832
  60.44937,   7.77492
  41.50513,   6.44245
  63.66959,   7.97932
  73.93851,   8.59875
  11.64080,   3.41186
  66.78387,   8.17214
  39.91203,   6.31760
  52.84323,   7.26933
  13.14873,   3.62612
  51.51194,   7.17718
  38.28346,   6.18736
  15.29834,   3.91131
  66.67639,   8.16556
  75.13270,   8.66791
  75.18399,   8.67087
  49.32186,   7.02295
  80.88343,   8.99352
  47.44772,   6.88823
  89.90768,   9.48197
  59.88037,   7.73824
  34.82139,   5.90097
  67.25260,   8.20077
  10.79198,   3.28512
  53.79712,   7.33465
  59.31882,   7.70187
   6.75346,   2.59874
  64.25798,   8.01611
  45.21378,   6.72412
  72.24569,   8.49975
  77.79546,   8.82017
   9.38985,   3.06429
  83.99940,   9.16512
  73.10838,   8.55034
  15.66077,   3.95737
  60.78777,   7.79665
  73.76852,   8.58886
  67.21192,   8.19829
  60.85085,   7.80070
  81.95137,   9.05270
  75.96918,   8.71603
  81.77470,   9.04294
  51.98312,   7.20993
  12.29524,   3.50646
  82.07130,   9.05932
   6.30645,   2.51127
  50.41854,   7.10060
  72.53894,   8.51698
  56.21853,   7.49790
  69.53525,   8.33878
   7.42464,   2.72482
   5.71976,   2.39160
  46.66733,   6.83135
  91.57874,   9.56968
  65.88834,   8.11716
  15.93882,   3.99234
   4.25296,   2.06227
  53.04304,   7.28307
  26.85560,   5.18224
  39.81746,   6.31011
  38.66080,   6.21778
  25.97101,   5.09618
  89.69345,   9.47066
  36.24903,   6.02072
  27.97591,   5.28923
  18.52700,   4.30430
  93.00896,   9.64412
  17.94293,   4.23591
  22.55975,   4.74971
  54.12802,   7.35717
  28.31928,   5.32159
  80.27755,   8.95977
  64.00871,   8.00054
  70.50304,   8.39661
  55.42547,   7.44483
  86.82268,   9.31787
  25.11045,   5.01103
  86.56098,   9.30382
  20.94167,   4.57621
  64.14869,   8.00929
  37.91585,   6.15758
  10.29137,   3.20802
  33.13117,   5.75597
  98.93050,   9.94638
  20.22009,   4.49668
  90.13104,   9.49374
  28.84451,   5.37071
  46.75296,   6.83761
  61.20093,   7.82310
  60.78938,   7.79675
  29.44958,   5.42675
  23.02989,   4.79895
  97.16986,   9.85748
  45.48316,   6.74412
  24.12309,   4.91153
  83.75124,   9.15157
   9.95087,   3.15450
  17.58501,   4.19345
   3.23043,   1.79734
  75.77467,   8.70486
   1.48509,   1.21864
  56.30520,   7.50368
  49.38006,   7.02709
  60.50208,   7.77831
  74.25565,   8.61717
  45.20791,   6.72368
  34.56313,   5.87904
  85.41096,   9.24181
   2.66430,   1.63227
  45.55616,   6.74953
  12.20518,   3.49359
  13.03773,   3.61078
  21.55619,   4.64286
  18.66646,   4.32047
  95.52905,   9.77390
  66.41705,   8.14967
  74.11784,   8.60917
  85.45361,   9.24411
  37.39459,   6.11511
  78.83742,   8.87904
  83.39711,   9.13220
  14.00032,   3.74170
  38.83305,   6.23162
  84.06671,   9.16879
  53.15841,   7.29098
  20.66029,   4.54536
  69.06351,   8.31045
  27.08007,   5.20385
  35.30066,   5.94144
  86.40289,   9.29532
  61.84319,   7.86404
  88.98698,   9.43329
  83.05859,   9.11365
  98.55442,   9.92746
  91.23847,   9.55188
  39.84688,   6.31244
  12.26066,   3.50152
  78.88117,   8.88151
   2.36809,   1.53886
  81.36259,   9.02012
  15.71110,   3.96372
   6.32698,   2.51535
  43.59489,   6.60264
  89.12749,   9.44074
  76.06535,   8.72155
  43.17889,   6.57106
  70.14506,   8.37527
  58.60015,   7.65507
  95.96638,   9.79624
  20.53817,   4.53191
  65.26146,   8.07846
  57.80986,   7.60328
  77.55325,   8.80643
  29.91233,   5.46922
  11.16531,   3.34145
   2.09369,   1.44696
  73.60852,   8.57954
  58.17543,   7.62728
  66.49420,   8.15440
  53.44768,   7.31079
  39.85817,   6.31333
  20.44992,   4.52216
  26.59550,   5.15708
  32.99246,   5.74391
  26.49281,   5.14712
  81.62991,   9.03493
  78.12711,   8.83895
  63.50462,   7.96898
  60.88242,   7.80272
  44.72836,   6.68793
  87.25959,   9.34128
  56.91114,   7.54395
  58.20478,   7.62921
  36.13674,   6.01138
  12.52584,   3.53919
  70.86456,   8.41811
  95.33091,   9.76375
  82.80533,   9.09974
  85.83935,   9.26495
  22.23540,   4.71544
  79.21160,   8.90009
  86.40921,   9.29566
  65.25144,   8.07784
  27.43835,   5.23816
  70.23209,   8.38046
  72.51357,   8.51549
  58.53750,   7.65098
  69.92762,   8.36227
  94.91017,   9.74219
  68.11932,   8.25344
  23.06596,   4.80270
  26.88317,   5.18490
  38.40332,   6.19704
  70.76773,   8.41236
  11.71567,   3.42282
   2.41218,   1.55312
  38.87819,   6.23524
  81.28798,   9.01598
  45.16081,   6.72018
  18.70916,   4.32541
  82.01896,   9.05643
  82.02945,   9.05701
  94.39800,   9.71586
  16.46280,   4.05744
  54.54280,   7.38531
  68.74150,   8.29105
  54.34227,   7.37172
  83.79975,   9.15422
  11.76562,   3.43010
  30.00314,   5.47751
  35.02396,   5.91810
   2.38600,   1.54467
   2.55777,   1.59930
  26.82415,   5.17920
  81.90536,   9.05016
  34.64756,   5.88622
  37.77487,   6.14613
  66.95985,   8.18290
  24.03498,   4.90255
  21.73140,   4.66169
  80.33362,   8.96290
  11.48372,   3.38876
  64.93084,   8.05797
  62.79236,   7.92416
  74.83459,   8.65070
  87.54876,   9.35675
  23.15064,   4.81151
  31.51554,   5.61387
  30.70411,   5.54113
  86.69105,   9.31080
  11.01453,   3.31881
  20.38932,   4.51545
  95.38822,   9.76669
  69.79365,   8.35426
  14.55821,   3.81552
   9.63318,   3.10374
   3.51895,   1.87589
  48.74810,   6.98198
  45.97142,   6.78022
   3.53728,   1.88077
  32.19855,   5.67438
  58.59171,   7.65452
  84.38863,   9.18633
  51.75728,   7.19425
  96.88026,   9.84278
  97.87662,   9.89326
  97.10515,   9.85419
  58.42669,   7.64374
  79.99818,   8.94417
  63.64285,   7.97765
  84.10622,   9.17094
  41.97890,   6.47911
  50.91486,   7.13546
   9.90688,   3.14752
  17.96332,   4.23832
  85.80354,   9.26302
  92.29194,   9.60687
  18.23839,   4.27064
  23.38482,   4.83578
  62.70901,   7.91890
  43.09756,   6.56487
  85.48207,   9.24565
   7.86955,   2.80527
  53.50921,   7.31500
   7.92526,   2.81518
   8.99814,   2.99969
  60.72218,   7.79244
  64.95905,   8.05972
  43.79115,   6.61749
  99.13280,   9.95655
  46.68848,   6.83290
  10.04067,   3.16870
  99.01025,   9.95039
   4.39150,   2.09559
  48.24670,   6.94598
  73.06585,   8.54786
  14.04860,   3.74815
   2.61426,   1.61687
  85.48566,   9.24585
  76.16690,   8.72736
  50.92820,   7.13640
  13.88603,   3.72640
  11.58225,   3.40327
  57.64069,   7.59215
  10.05336,   3.17070
  89.99267,   9.48645
  11.46663,   3.38624
  37.81246,   6.14918
  24.54251,   4.95404
  64.43040,   8.02686
  33.12853,   5.75574
  52.65472,   7.25636
  23.34820,   4.83200
  42.05992,   6.48536
  46.82749,   6.84306
  78.41297,   8.85511
  53.86435,   7.33923
  93.18413,   9.65319
  96.64628,   9.83088
  45.43774,   6.74075
  27.72294,   5.26526
  99.80779,   9.99039
  35.28668,   5.94026
  33.83668,   5.81693
  22.81186,   4.77618
  64.02520,   8.00158
  10.75058,   3.27881
  96.53471,   9.82521
  39.58481,   6.29165
  20.45040,   4.52221
  30.48863,   5.52165
   6.98604,   2.64311
  50.87896,   7.13295
   8.47457,   2.91111
  46.31718,   6.80567
  16.12539,   4.01564
  43.27267,   6.57820
  27.37486,   5.23210
  40.88816,   6.39438
  70.00587,   8.36695
  61.30809,   7.82995
  23.18767,   4.81536
  52.56853,   7.25042
  55.60601,   7.45694
  86.86883,   9.32034
  60.61737,   7.78572
  75.45986,   8.68676
   1.37670,   1.17333
  39.29761,   6.26878
  95.30495,   9.76243
  75.72640,   8.70209
  81.94699,   9.05246
  14.39569,   3.79416
  96.15718,   9.80598
  59.29991,   7.70064
  26.21380,   5.11994
  60.77913,   7.79610
  74.33340,   8.62168
   3.12898,   1.76889
  43.88464,   6.62455
  42.71395,   6.53559
  98.29238,   9.91425
  15.64651,   3.95557
  75.65261,   8.69785
  15.35231,   3.91820
  40.13802,   6.33546
  41.80042,   6.46532
   1.20094,   1.09588
  13.74117,   3.70691
  76.85987,   8.76698
  48.34171,   6.95282
  94.21976,   9.70669
  21.82853,   4.67210
  11.21088,   3.34826
  15.02000,   3.87556
   4.94732,   2.22426
  11.20493,   3.34738
  89.97116,   9.48531
  30.04675,   5.48149
  61.17715,   7.82158
  92.73782,   9.63005
  60.93939,   7.80637
  94.78870,   9.73595
  87.09783,   9.33262
  75.66508,   8.69857
  72.01715,   8.48629
  67.74391,   8.23067
  49.08480,   7.00605
  25.77789,   5.07719
  62.93773,   7.93333
  35.04671,   5.92003
   3.94276,   1.98564
  14.48658,   3.80612
  20.51267,   4.52909
  74.79818,   8.64859
  72.10612,   8.49153
   3.66499,   1.91442
  28.96208,   5.38164
  64.27824,   8.01737
  53.21160,   7.29463
  35.15589,   5.92924
  38.97086,   6.24266
  29.72856,   5.45239
  75.18792,   8.67110
  53.58677,   7.32030
  56.28613,   7.50241
  52.48819,   7.24487
  97.42263,   9.87029
  14.98069,   3.87049
  13.69692,   3.70094
  51.60191,   7.18345
   9.18217,   3.03021
  32.52987,   5.70350
  53.64139,   7.32403
  41.35358,   6.43067
  10.74956,   3.27865
   6.95498,   2.63723
  37.81561,   6.14944
  54.64001,   7.39189
  98.41634,   9.92050
  49.92367,   7.06567
  56.34318,   7.50621
  46.74035,   6.83669
  79.65443,   8.92493
  94.94608,   9.74403
  83.15064,   9.11870
  45.79000,   6.76683
  56.85329,   7.54011
  16.01140,   4.00142
  61.96417,   7.87173
  15.52383,   3.94003
  84.50883,   9.19287
  28.46335,   5.33511
  31.30196,   5.59482
  44.79371,   6.69281
  48.61942,   6.97276
  73.03413,   8.54600
   1.81158,   1.34595
  11.40625,   3.37731
  34.26638,   5.85375
  16.65148,   4.08062
  27.78015,   5.27069
  45.42454,   6.73977
  94.44681,   9.71838
  73.42972,   8.56911
  12.00645,   3.46503
  28.14160,   5.30487
  79.10909,   8.89433
  62.22216,   7.88810
  92.29205,   9.60688
  45.35245,   6.73442
  18.05570,   4.24920
  74.57407,   8.63563
   2.14503,   1.46459
  99.14789,   9.95730
  60.24345,   7.76167
  74.32935,   8.62145
  68.53962,   8.27887
  66.34246,   8.14509
  11.84420,   3.44154
  51.23354,   7.15776
  28.30262,   5.32002
  18.60833,   4.31374
  83.83134,   9.15595
  80.21301,   8.95617
  68.86761,   8.29865
  66.85181,   8.17630
   8.16715,   2.85782
  25.33432,   5.03332
  41.63834,   6.45278
  52.60659,   7.25304
  63.39413,   7.96204
  64.25156,   8.01571
  71.09026,   8.43150
  92.42139,   9.61360
  26.19729,   5.11833
  80.16991,   8.95376
  31.98316,   5.65537
  80.97301,   8.99850
  85.86897,   9.26655
  55.66377,   7.46082
  94.39524,   9.71572
  93.31838,   9.66014
  74.69707,   8.64275
  26.49736,   5.14756
  33.59024,   5.79571
   4.32571,   2.07983
  86.54323,   9.30286
  33.59533,   5.79615
  96.44599,   9.82069
  39.57681,   6.29101
  75.23970,   8.67408
  86.13346,   9.28081
  32.21574,   5.67589
  27.55740,   5.24951
  23.21009,   4.81768
  20.26110,   4.50123
  70.87764,   8.41889
  26.92700,   5.18912
   3.64315,   1.90870
  35.28678,   5.94027
  39.37819,   6.27520
  22.01390,   4.69190
  23.06734,   4.80285
