x1,y1
   0.58963,   7.70530
   0.13679,   3.81364
   0.66206,   8.15726
   0.98718,   9.93608
   0.89750,   9.47885
   0.57897,   7.63653
   0.06487,   2.72471
   0.10852,   3.42706
   0.44754,   6.73093
   0.33848,   5.87442
   0.32248,   5.73808
   0.90610,   9.52364
   0.10081,   3.31391
   0.75145,   8.68276
   0.82744,   9.10566
   0.67723,   8.24880
   0.24677,   5.04288
   0.24809,   5.05587
   0.87833,   9.37821
   0.01853,   1.68423
   0.08204,   3.02062
   0.29760,   5.51926
   0.59030,   7.70956
   0.43405,   6.63099
   0.44397,   6.70466
   0.10433,   3.36608
   0.25271,   5.10084
   0.36771,   6.11578
   0.65097,   8.08970
   0.28342,   5.39066
   0.84205,   9.18471
   0.82976,   9.11825
   0.15244,   4.01160
   0.87847,   9.37894
   0.92845,   9.63910
   0.23435,   4.91948
   0.44473,   6.71022
   0.20690,   4.63504
   0.02713,   1.92038
   0.24896,   5.06433
   0.14938,   3.97361
   0.68149,   8.27436
   0.23406,   4.91658
   0.97410,   9.87073
   0.13591,   3.80222
   0.24091,   4.98507
   0.19329,   4.48739
   0.64313,   8.04158
   0.47138,   6.90400
   0.75817,   8.72097
   0.34887,   5.96132
   0.32642,   5.77199
   0.64698,   8.06526
   0.80843,   9.00170
   0.38757,   6.27446
   0.25297,   5.10341
   0.73700,   8.59998
   0.43094,   6.60770
   0.69321,   8.34414
   0.61860,   7.88916
   0.45957,   6.81882
   0.69750,   8.36955
   0.33566,   5.85062
   0.67530,   8.23726
   0.45348,   6.77448
   0.34988,   5.96977
   0.37626,   6.18458
   0.15273,   4.01519
   0.61260,   7.85145
   0.94717,   9.73471
   0.39391,   6.32428
   0.60959,   7.83242
   0.86312,   9.29757
   0.45417,   6.77953
   0.30493,   5.58465
   0.32481,   5.75816
   0.14290,   3.89211
   0.71334,   8.46272
   0.05396,   2.51868
   0.64166,   8.03256
   0.13633,   3.80766
   0.70197,   8.39597
   0.56771,   7.56319
   0.09837,   3.27723
   0.22855,   4.86076
   0.31644,   5.68576
   0.92210,   9.60642
   0.20471,   4.61167
   0.88904,   9.43455
   0.01293,   1.51080
   0.73508,   8.58892
   0.80952,   9.00770
   0.79734,   8.94055
   0.20682,   4.63422
   0.89892,   9.48622
   0.34801,   5.95425
   0.88053,   9.38981
   0.06430,   2.71432
   0.51296,   7.19595
   0.47966,   6.96314
   0.95153,   9.75686
   0.09750,   3.26408
   0.28645,   5.41839
   0.55340,   7.46890
   0.13961,   3.85005
   0.97752,   9.88784
   0.44404,   6.70517
   0.98679,   9.93413
   0.71191,   8.45437
   0.84645,   9.20842
   0.91718,   9.58105
   0.77760,   8.83056
   0.49539,   7.07404
   0.90461,   9.51588
   0.29999,   5.54068
   0.95718,   9.78552
   0.65078,   8.08856
   0.39788,   6.35530
   0.42353,   6.55202
   0.49477,   7.06969
   0.61172,   7.84589
   0.84340,   9.19198
   0.87185,   9.34394
   0.34383,   5.91941
   0.58422,   7.67048
   0.38327,   6.24043
   0.91814,   9.58599
   0.52978,   7.31071
   0.16415,   4.15360
   0.07751,   2.94530
   0.72185,   8.51238
   0.18313,   4.37388
   0.88698,   9.42375
   0.98821,   9.94120
   0.82226,   9.07744
   0.39265,   6.31440
   0.30034,   5.54378
   0.77838,   8.83496
   0.10668,   3.40045
   0.35827,   6.03889
   0.31539,   5.67659
   0.56458,   7.54264
   0.58542,   7.67822
   0.85375,   9.24754
   0.37101,   6.14243
   0.95869,   9.79312
   0.65841,   8.13514
   0.58449,   7.67217
   0.54153,   7.38981
   0.42398,   6.55539
   0.89208,   9.45050
   0.37100,   6.14239
   0.51325,   7.19795
   0.61084,   7.84037
   0.73617,   8.59523
   0.65011,   8.08448
   0.16669,   4.18375
   0.28627,   5.41674
   0.09967,   3.29678
   0.89003,   9.43976
   0.53794,   7.36578
   0.79141,   8.90763
   0.91681,   9.57913
   0.59067,   7.71193
   0.10782,   3.41696
   0.44319,   6.69884
   0.39804,   6.35648
   0.77926,   8.83988
   0.05841,   2.60462
   0.64564,   8.05702
   0.10148,   3.32390
   0.55934,   7.50818
   0.37161,   6.14727
   0.33206,   5.82014
   0.31316,   5.65711
   0.75332,   8.69341
   0.09969,   3.29713
   0.35118,   5.98050
   0.02167,   1.77422
   0.53110,   7.31964
   0.83320,   9.13689
   0.94630,   9.73029
   0.61106,   7.84172
   0.15751,   4.07361
   0.24964,   5.07099
   0.55056,   7.45006
   0.37312,   6.15945
   0.62788,   7.94721
   0.18965,   4.44704
   0.57400,   7.60419
   0.29347,   5.48209
   0.20260,   4.58889
   0.77543,   8.81840
   0.39189,   6.30841
   0.52386,   7.27050
   0.07176,   2.84705
   0.81830,   9.05584
   0.46113,   6.83011
   0.22733,   4.84832
   0.20031,   4.56411
   0.25325,   5.10605
   0.12213,   3.61832
   0.23507,   4.92671
   0.93088,   9.65155
   0.93059,   9.65007
   0.37412,   6.16743
   0.52508,   7.27882
   0.37939,   6.20964
   0.15115,   3.99564
   0.25440,   5.11727
   0.77318,   8.80577
   0.54742,   7.42917
   0.73155,   8.56859
   0.35300,   5.99557
   0.11377,   3.50214
   0.92209,   9.60635
   0.53474,   7.34425
   0.10126,   3.32059
   0.09056,   3.15710
   0.11084,   3.46047
   0.42007,   6.52582
   0.61647,   7.87578
   0.85556,   9.25721
   0.21129,   4.68171
   0.03245,   2.05298
   0.60910,   7.82936
   0.23590,   4.93508
   0.20267,   4.58970
   0.11914,   3.57724
   0.54168,   7.39085
   0.23859,   4.96191
   0.50785,   7.16071
   0.19857,   4.54529
   0.75688,   8.71364
   0.28674,   5.42101
   0.04831,   2.40504
   0.60065,   7.77577
   0.65838,   8.13491
   0.01599,   1.60795
   0.51375,   7.20138
   0.48200,   6.97977
   0.66855,   8.19659
   0.22928,   4.86818
   0.08394,   3.05152
   0.90342,   9.50968
   0.37300,   6.15845
   0.17061,   4.22988
   0.11345,   3.49762
   0.06323,   2.69469
   0.78487,   8.87122
   0.30215,   5.55994
   0.10022,   3.30511
   0.91003,   9.54404
   0.45109,   6.75699
   0.34226,   5.90621
   0.76109,   8.73753
   0.09054,   3.15672
   0.11320,   3.49400
