x1,y1
  87.53321,   9.35592
  24.13506,   4.91274
  13.02709,   3.60931
  28.92072,   5.37780
  61.40809,   7.83633
  24.65876,   4.96576
   1.55876,   1.24850
  29.88971,   5.46715
  48.20038,   6.94265
  85.12598,   9.22637
  16.91208,   4.11243
  24.54653,   4.95445
  66.88614,   8.17839
  92.78255,   9.63237
  90.95214,   9.53688
  89.79198,   9.47586
  31.58016,   5.61962
   7.94315,   2.81836
  36.25856,   6.02151
  71.29047,   8.44337
  13.44344,   3.66653
  67.44680,   8.21260
  83.93234,   9.16146
  61.68063,   7.85370
  79.79166,   8.93262
  88.39783,   9.40201
   4.96199,   2.22755
  73.91254,   8.59724
  90.02651,   9.48823
   3.47634,   1.86449
  13.25770,   3.64111
  39.23232,   6.26357
  24.55946,   4.95575
  32.33327,   5.68624
  77.08907,   8.78004
  35.70633,   5.97548
  83.36576,   9.13049
  84.44009,   9.18913
  35.58846,   5.96561
  48.63792,   6.97409
  38.47994,   6.20322
  27.07430,   5.20330
  87.80695,   9.37054
  94.23312,   9.70737
  85.67370,   9.25601
  18.22103,   4.26861
  88.89683,   9.42851
  95.92138,   9.79395
  50.35420,   7.09607
  29.68014,   5.44795
   6.98949,   2.64377
  30.11001,   5.48726
  60.56063,   7.78207
  84.29375,   9.18116
  95.65984,   9.78058
  82.02892,   9.05698
  13.90921,   3.72951
  78.25117,   8.84597
  21.81161,   4.67029
  62.63736,   7.91438
  28.92757,   5.37844
  97.89988,   9.89444
  18.80446,   4.33641
  13.13588,   3.62435
  45.68892,   6.75936
  53.45875,   7.31155
  83.07910,   9.11477
  69.57880,   8.34139
  99.45512,   9.97272
  63.39996,   7.96241
  22.93423,   4.78897
  51.67343,   7.18842
  20.12907,   4.48654
  89.62437,   9.46701
  86.63945,   9.30803
  37.35785,   6.11211
  61.14737,   7.81968
  77.10116,   8.78073
  83.94485,   9.16214
   7.26617,   2.69558
  45.61210,   6.75367
  99.88374,   9.99418
  67.58344,   8.22091
  86.94524,   9.32444
  43.54860,   6.59914
  97.75986,   9.88736
  65.22944,   8.07647
  65.45048,   8.09015
  42.59126,   6.52620
  47.83184,   6.91606
   3.30895,   1.81905
  42.89159,   6.54917
  81.69781,   9.03868
  33.89454,   5.82190
  18.83716,   4.34018
  38.54938,   6.20881
  29.62726,   5.44309
  33.67153,   5.80272
   7.69331,   2.77368
   6.36346,   2.52259
