x1,y1
   0.87439,   9.35592
   0.22961,   4.91274
   0.11664,   3.60931
   0.27828,   5.37780
   0.60869,   7.83633
   0.23494,   4.96576
   0.00000,   1.24850
   0.28814,   5.46715
   0.47436,   6.94265
   0.84991,   9.22637
   0.15615,   4.11243
   0.23379,   4.95445
   0.66440,   8.17839
   0.92778,   9.63237
   0.90916,   9.53688
   0.89736,   9.47586
   0.30533,   5.61962
   0.06493,   2.81836
   0.35291,   6.02151
   0.70920,   8.44337
   0.12087,   3.66653
   0.67010,   8.21260
   0.83777,   9.16146
   0.61146,   7.85370
   0.79566,   8.93262
   0.88318,   9.40201
   0.03461,   2.22755
   0.73586,   8.59724
   0.89975,   9.48823
   0.01950,   1.86449
   0.11898,   3.64111
   0.38315,   6.26357
   0.23393,   4.95575
   0.31299,   5.68624
   0.76817,   8.78004
   0.34729,   5.97548
   0.83201,   9.13049
   0.84293,   9.18913
   0.34609,   5.96561
   0.47881,   6.97409
   0.37550,   6.20322
   0.25950,   5.20330
   0.87717,   9.37054
   0.94253,   9.70737
   0.85548,   9.25601
   0.16946,   4.26861
   0.88826,   9.42851
   0.95970,   9.79395
   0.49627,   7.09607
   0.28600,   5.44795
   0.05523,   2.64377
   0.29038,   5.48726
   0.60007,   7.78207
   0.84144,   9.18116
   0.95704,   9.78058
   0.81841,   9.05698
   0.12561,   3.72951
   0.77999,   8.84597
   0.20598,   4.67029
   0.62119,   7.91438
   0.27835,   5.37844
   0.97982,   9.89444
   0.17539,   4.33641
   0.11774,   3.62435
   0.44882,   6.75936
   0.52784,   7.31155
   0.82909,   9.11477
   0.69179,   8.34139
   0.99564,   9.97272
   0.62895,   7.96241
   0.21740,   4.78897
   0.50968,   7.18842
   0.18887,   4.48654
   0.89566,   9.46701
   0.86530,   9.30803
   0.36409,   6.11211
   0.60604,   7.81968
   0.76829,   8.78073
   0.83790,   9.16214
   0.05805,   2.69558
   0.44804,   6.75367
   1.00000,   9.99418
   0.67149,   8.22091
   0.86841,   9.32444
   0.42705,   6.59914
   0.97840,   9.88736
   0.64755,   8.07647
   0.64980,   8.09015
   0.41732,   6.52620
   0.47061,   6.91606
   0.01780,   1.81905
   0.42037,   6.54917
   0.81504,   9.03868
   0.32887,   5.82190
   0.17573,   4.34018
   0.37621,   6.20881
   0.28547,   5.44309
   0.32660,   5.80272
   0.06239,   2.77368
   0.04887,   2.52259
